Field,Description,Type,Coverage,Users,Alphas
oth596_2dts_gen_441,Standard deviation of negative sentiment scores.,MATRIX,100%,14,16
oth596_2dts_sop_428,Standard deviation of positive sentiment scores.,MATRIX,100%,7,7
oth596_2dts_tuen_422,Standard deviation of neutral sentiment scores.,MATRIX,100%,5,5
oth596_2neg_conf_low_425,Lower confidence bound for negative sentiment scores.,MATRIX,100%,8,8
oth596_2neg_conf_up_431,Upper confidence bound for negative sentiment scores.,MATRIX,100%,6,7
oth596_2neg_max_429,Maximum value of negative sentiment scores.,MATRIX,100%,7,7
oth596_2neg_mean_432,Mean value of negative sentiment scores.,MATRIX,100%,8,9
oth596_2neg_median_426,Median value of negative sentiment scores.,MATRIX,100%,6,6
oth596_2neg_min_430,Minimum value of negative sentiment scores.,MATRIX,100%,16,17
oth596_2neut_conf_low_423,Lower confidence bound for neutral sentiment scores.,MATRIX,100%,3,3
oth596_2neut_conf_up_436,Upper confidence bound for neutral sentiment scores.,MATRIX,100%,3,3
oth596_2neut_max_421,Maximum value of neutral sentiment scores.,MATRIX,100%,3,3
oth596_2neut_mean_424,Mean value of neutral sentiment scores.,MATRIX,100%,3,3
oth596_2neut_median_438,Median value of neutral sentiment scores.,MATRIX,100%,2,2
oth596_2neut_min_433,Minimum value of neutral sentiment scores.,MATRIX,100%,2,2
oth596_2pos_conf_low_439,Lower confidence bound for positive sentiment scores.,MATRIX,100%,5,5
oth596_2pos_conf_up_427,Upper confidence bound for positive sentiment scores.,MATRIX,100%,3,3
oth596_2pos_max_437,Maximum value of positive sentiment scores.,MATRIX,100%,5,5
oth596_2pos_mean_440,Mean value of positive sentiment scores.,MATRIX,100%,5,5
oth596_2pos_median_435,Median value of positive sentiment scores.,MATRIX,100%,7,7
oth596_2pos_min_434,Minimum value of positive sentiment scores.,MATRIX,100%,4,4
oth596_3dts_gen_567,Standard deviation of negative sentiment scores.,MATRIX,100%,5,5
oth596_3dts_sop_562,Standard deviation of positive sentiment scores.,MATRIX,100%,5,5
oth596_3dts_tuen_560,Standard deviation of neutral sentiment scores.,MATRIX,100%,4,4
oth596_3neg_conf_low_549,Lower confidence bound for negative sentiment scores.,MATRIX,100%,2,2
oth596_3neg_conf_up_566,Upper confidence bound for negative sentiment scores.,MATRIX,100%,3,5
oth596_3neg_max_559,Maximum value of negative sentiment scores.,MATRIX,100%,4,4
oth596_3neg_mean_555,Mean value of negative sentiment scores.,MATRIX,100%,3,3
oth596_3neg_median_554,Median value of negative sentiment scores.,MATRIX,100%,2,2
oth596_3neg_min_547,Minimum value of negative sentiment scores.,MATRIX,100%,2,2
oth596_3neut_conf_low_563,Lower confidence bound for neutral sentiment scores.,MATRIX,100%,3,3
oth596_3neut_conf_up_550,Upper confidence bound for neutral sentiment scores.,MATRIX,100%,2,2
oth596_3neut_max_548,Maximum value of neutral sentiment scores.,MATRIX,100%,2,2
oth596_3neut_mean_553,Mean value of neutral sentiment scores.,MATRIX,100%,2,2
oth596_3neut_median_565,Median value of neutral sentiment scores.,MATRIX,100%,2,2
oth596_3neut_min_551,Minimum value of neutral sentiment scores.,MATRIX,100%,3,3
oth596_3pos_conf_low_552,Lower confidence bound for positive sentiment scores.,MATRIX,100%,3,3
oth596_3pos_conf_up_561,Upper confidence bound for positive sentiment scores.,MATRIX,100%,6,6
oth596_3pos_max_558,Maximum value of positive sentiment scores.,MATRIX,100%,3,3
oth596_3pos_mean_557,Mean value of positive sentiment scores.,MATRIX,100%,4,4
oth596_3pos_median_564,Median value of positive sentiment scores.,MATRIX,100%,2,2
oth596_3pos_min_556,Minimum value of positive sentiment scores.,MATRIX,100%,3,3
oth596_4dts_gen_326,Standard deviation of negative sentiment scores.,MATRIX,100%,1,1
oth596_4dts_sop_321,Standard deviation of positive sentiment scores.,MATRIX,100%,2,2
oth596_4dts_tuen_317,Standard deviation of neutral sentiment scores.,MATRIX,100%,1,1
oth596_4neg_conf_low_330,Lower confidence bound for negative sentiment scores.,MATRIX,100%,3,3
oth596_4neg_conf_up_318,Upper confidence bound for negative sentiment scores.,MATRIX,100%,3,3
oth596_4neg_max_331,Maximum value of negative sentiment scores.,MATRIX,100%,1,1
oth596_4neg_mean_322,Mean value of negative sentiment scores.,MATRIX,100%,2,2
oth596_4neg_median_335,Median value of negative sentiment scores.,MATRIX,100%,2,2
oth596_4neg_min_320,Minimum value of negative sentiment scores.,MATRIX,100%,1,1
oth596_4neut_conf_low_336,Lower confidence bound for neutral sentiment scores.,MATRIX,100%,1,1
oth596_4neut_conf_up_328,Upper confidence bound for neutral sentiment scores.,MATRIX,100%,1,1
oth596_4neut_max_334,Maximum value of neutral sentiment scores.,MATRIX,100%,2,2
oth596_4neut_mean_327,Mean value of neutral sentiment scores.,MATRIX,100%,3,3
oth596_4neut_median_323,Median value of neutral sentiment scores.,MATRIX,100%,1,1
oth596_4neut_min_324,Minimum value of neutral sentiment scores.,MATRIX,100%,1,1
oth596_4pos_conf_low_333,Lower confidence bound for positive sentiment scores.,MATRIX,100%,3,3
oth596_4pos_conf_up_316,Upper confidence bound for positive sentiment scores.,MATRIX,100%,1,1
oth596_4pos_max_319,Maximum value of positive sentiment scores.,MATRIX,100%,1,1
