Field,Description,Type,Coverage,Users,Alphas
company_name_match_score,Similarity score indicating confidence in entity mapping/match (0–1),VECTOR,82%,5,10
company_name_match_score_fast_d1,Similarity score indicating confidence in entity mapping/match (0–1),VECTOR,82%,13,17
conference_analyst_attendees,List of analyst participants on the call,VECTOR,82%,1,1
conference_analyst_attendees_fast_d1,List of analyst participants on the call,VECTOR,82%,2,2
conference_company_attendees,List of company participant names for the event,VECTOR,82%,1,1
conference_company_attendees_fast_d1,List of company participant names for the event,VECTOR,82%,3,3
event_full_title,"Official title of the event (e.g., “Q1 2018 Apple Inc Earnings Conference Call”)",VECTOR,82%,2,2
event_full_title_fast_d1,"Official title of the event (e.g., “Q1 2018 Apple Inc Earnings Conference Call”)",VECTOR,82%,0,0
event_headline_text,Headline or title text of the event or transcript,VECTOR,82%,2,2
event_headline_text_fast_d1,Headline or title text of the event or transcript,VECTOR,82%,1,1
oth384_oecsi,Indicator flag showing whether a CEO is listed among the participants,VECTOR,82%,45,77
oth384_oecsi_fast_d1,Indicator flag showing whether a CEO is listed among the participants,VECTOR,82%,2,2
oth384_ofcsi,"Flag indicating if a CFO participant is present (1=yes, 0=no)",VECTOR,82%,25,62
oth384_ofcsi_fast_d1,"Flag indicating if a CFO participant is present (1=yes, 0=no)",VECTOR,82%,3,3
oth384_presentation_count,"Number of content words in the presentation section, excluding annotations and speaker names",VECTOR,82%,28,41
oth384_presentation_count_fast_d1,"Number of content words in the presentation section, excluding annotations and speaker names",VECTOR,82%,1,1
oth384_presentation_negfreq,Frequency (ratio) of negative sentiment in the presentation section,VECTOR,82%,39,105
oth384_presentation_negfreq_fast_d1,Frequency (ratio) of negative sentiment in the presentation section,VECTOR,82%,2,2
oth384_presentation_negnum,Number of negative sentiment word instances in the presentation,VECTOR,82%,33,55
oth384_presentation_negnum_fast_d1,Number of negative sentiment word instances in the presentation,VECTOR,82%,2,2
oth384_presentation_paragraphcount,Number of paragraphs in the presentation section,VECTOR,82%,19,29
oth384_presentation_paragraphcount_fast_d1,Number of paragraphs in the presentation section,VECTOR,82%,1,1
oth384_presentation_posfreq,Ratio of positive words to total content words in the presentation (Presentation_posNum / Presentation_count),VECTOR,82%,42,67
oth384_presentation_posfreq_fast_d1,Ratio of positive words to total content words in the presentation (Presentation_posNum / Presentation_count),VECTOR,82%,6,9
oth384_presentation_posnum,Count of positive sentiment instances in the presentation section,VECTOR,82%,26,36
oth384_presentation_posnum_fast_d1,Count of positive sentiment instances in the presentation section,VECTOR,82%,1,1
oth384_presentation_questions,Number of questions asked during the presentation if any,VECTOR,82%,17,21
oth384_presentation_questions_fast_d1,Number of questions asked during the presentation if any,VECTOR,82%,0,0
oth384_presentation_sentcount,Number of sentences in the presentation section,VECTOR,82%,15,15
oth384_presentation_sentcount_fast_d1,Number of sentences in the presentation section,VECTOR,82%,1,1
