Field,Description,Type,Coverage,Users,Alphas
oth566_l2r20_label,Quantile (bucket) label for the 20-day forward return prediction with 2 buckets generated by the USA FinChart model with D1 delay,MATRIX,100%,227,374
oth566_l2r20_prob,Vector of log-probabilities for the 2 buckets corresponding to the 20-day forward return prediction from the USA FinChart model with D1 delay,MATRIX,100%,36,39
oth566_l2r5_label,Quantile (bucket) label indicating the classification of the 5-day forward return into 2 buckets for US stocks with a 1-day delay,MATRIX,100%,166,226
oth566_l2r5_prob,Confidence score for the predicted label of 5-day future return using Level 2 financial chart data,MATRIX,100%,8,9
oth566_l2r5res_label,Predicted quantile label for 5-day future return using Level 2 Res financial chart data,MATRIX,100%,47,59
oth566_l2r5res_prob,Confidence score for the predicted label of 5-day future return using Level 2 Res financial chart data,MATRIX,100%,6,6
oth566_l3r20_label,Predicted quantile label for 20-day future return using Level 3 financial chart data,MATRIX,100%,24,26
oth566_l3r20_prob,Confidence score for the predicted label of 20-day future return using Level 3 financial chart data,MATRIX,100%,15,16
oth566_l3r20gasf_label,Predicted quantile label for 20-day future return using Level 3 Gasf financial chart data,MATRIX,100%,3,3
oth566_l3r20gasf_prob,Confidence score for the predicted label of 20-day future return using Level 3 Gasf financial chart data,MATRIX,100%,1,1
oth566_l3r20gasfmulti_label,Predicted quantile label for 20-day future return using Level 3 GasfMulti financial chart data,MATRIX,100%,12,13
oth566_l3r20gasfmulti_last_pattern,The most recent pattern identified in Level 3 GasfMulti financial chart data,MATRIX,100%,6,6
oth566_l3r20gasfmulti_pattern,Pattern detected in Level 3 GasfMulti financial chart data,MATRIX,100%,2,2
oth566_l3r20gasfmulti_prob,Confidence score for the predicted label in Level 3 GasfMulti financial chart data,MATRIX,100%,2,3
oth566_l3r20gasfmulti_prob_last_pattern,Confidence score for the most recent pattern in Level 3 GasfMulti financial chart data,MATRIX,100%,1,1
oth566_l3r20gasfmulti_prob_pattern,Confidence score for the detected pattern in Level 3 GasfMulti financial chart data,MATRIX,100%,4,4
oth566_l3r5_label,Predicted quantile label for 5-day future return using Level 3 financial chart data,MATRIX,100%,30,40
oth566_l3r5_prob,Confidence score for the predicted label of 5-day future return using Level 3 financial chart data,MATRIX,100%,3,3
oth566_l5r20_label,Predicted quantile label for 20-day future return using Level 5 financial chart data,MATRIX,100%,17,19
oth566_l5r20_prob,Confidence score for the predicted label of 20-day future return using Level 5 financial chart data,MATRIX,100%,5,6
oth566_l5r20gasfculr_label_3,Quantile (bucket) label in 3 buckets for the 20-day forward return prediction,MATRIX,100%,20,23
oth566_l5r20gasfculr_label_5,Quantile (bucket) label in 5 buckets for the 20-day forward return prediction,MATRIX,100%,25,27
oth566_l5r20gasfculr_pattern,Pattern detected in Level 5 GasfCulr financial chart data,MATRIX,100%,7,8
oth566_l5r20gasfculr_prob_3,Vector of log-probabilities for each of the 3 quantile buckets for the 20-day forward return prediction,MATRIX,100%,2,2
oth566_l5r20gasfculr_prob_5,Vector of log-probabilities for each of the 5 quantile buckets for the 20-day forward return prediction,MATRIX,100%,2,2
oth566_l5r20gasfculr_prob_pattern,Confidence score for the detected pattern in Level 5 GasfCulr financial chart data,MATRIX,100%,2,2
oth566_l5r20gasfculr_ret,Continuous regression prediction of the 20-day forward return,MATRIX,100%,23,27
oth566_label2,Predicted quantile label for 2-day future return using multi-horizon financial chart data,MATRIX,100%,15,15
oth566_label_2,Predicted quantile label for 2-day future return using R20MaRsi financial chart data,MATRIX,100%,24,28
oth566_multil2_label,Predicted quantile label for multi-horizon return using Level 2 financial chart data,MATRIX,100%,13,15
oth566_multil2_prob,Confidence score for the predicted label in multi-horizon Level 2 financial chart data,MATRIX,100%,19,23
oth566_multil3_label,Predicted quantile label for multi-horizon return using Level 3 financial chart data,MATRIX,100%,9,9
oth566_multil3_last_pattern,The most recent pattern identified in multi-horizon Level 3 financial chart data,MATRIX,100%,8,8
oth566_multil3_pattern,Pattern detected in multi-horizon Level 3 financial chart data,MATRIX,100%,4,4
oth566_multil3_prob,Confidence score for the predicted label in multi-horizon Level 3 financial chart data,MATRIX,100%,4,6
oth566_multil3_prob_last_pattern,Confidence score for the most recent pattern in multi-horizon Level 3 financial chart data,MATRIX,100%,3,3
oth566_multil3_prob_pattern,Confidence score for the detected pattern in multi-horizon Level 3 financial chart data,MATRIX,100%,1,1
oth566_prob_2,Confidence score for the predicted label of 2-day future return using R20MaRsi financial chart data,MATRIX,100%,2,2
oth566_probl2,Confidence score for the predicted label of 2-day future return using multi-horizon financial chart data,MATRIX,100%,4,5
oth566_r20marsi_label_3,Predicted quantile label for 3-day future return using R20MaRsi financial chart data,MATRIX,100%,14,19
oth566_r20marsi_label_5,Predicted quantile label for 5-day future return using R20MaRsi financial chart data,MATRIX,100%,10,11
oth566_r20marsi_prob_3,Confidence score for the predicted label of 3-day future return using R20MaRsi financial chart data,MATRIX,100%,4,4
oth566_r20marsi_prob_5,Confidence score for the predicted label of 5-day future return using R20MaRsi financial chart data,MATRIX,100%,7,13
oth566_r20marsi_ret,Predicted raw return value using R20MaRsi financial chart data,MATRIX,100%,119,162
oth566_return,Continuous regression prediction of the 2-day forward return as a real-valued estimate,MATRIX,100%,26,28
