Field,Description,Type,Coverage,Users,Alphas
anl69_aeps_best_crncy_iso,"ISO currency code (e.g., USD, EUR) for the consensus estimate values",MATRIX,100%,213,615
anl69_aeps_best_cur_fiscal_qtr_period,Identifier indicating the current fiscal quarter period for the company as of the point-in-time estimate,MATRIX,100%,156,647
anl69_aeps_best_cur_fiscal_year_period,"Current fiscal year period associated with the consensus or ""best"" estimate, likely denoting the fiscal year covered by consensus estimates",MATRIX,100%,89,169
anl69_aeps_best_eeps_cur_yr,The current consensus estimate for Earnings Per Share (EPS) for the ongoing fiscal year,MATRIX,100%,172,490
anl69_aeps_best_eeps_nxt_yr,The consensus estimate for Earnings Per Share (EPS) for the next fiscal year,MATRIX,100%,142,280
anl69_aeps_best_fiscal_period_dt,Fiscal Period Date,VECTOR,100%,33,52
anl69_aeps_best_fperiod_override,Fiscal Period Override,VECTOR,100%,14,31
anl69_aeps_expected_report_dt,The scheduled date when the company's earnings report is expected to be released,MATRIX,100%,100,363
anl69_aeps_expected_report_period,Expected Earnings Report Period,VECTOR,100%,5,8
anl69_aeps_expected_report_time,The expected specific time of day when the company's earnings report will be released,MATRIX,100%,74,341
anl69_aeps_latest_ann_dt_qtrly,Latest Announcement Date Quarterly,VECTOR,100%,8,12
anl69_aeps_market_status,Market Status,VECTOR,100%,4,7
anl69_aeps_most_recent_period_end_dt,Most Recent Period End Date,VECTOR,100%,8,18
anl69_analyst_best_crncy_iso,ISO currency code for the currency in which the consensus estimate is reported,MATRIX,100%,49,94
anl69_analyst_best_cur_fiscal_qtr_period,Date representing the current fiscal quarter period for the company according to analyst consensus estimates,MATRIX,100%,59,256
anl69_analyst_best_cur_fiscal_year_period,Date representing the current fiscal year period for the company according to analyst consensus estimates,MATRIX,100%,42,85
anl69_analyst_best_eeps_cur_yr,Consensus estimate of earnings per share (EPS) for the current fiscal year,MATRIX,100%,54,117
anl69_analyst_best_eeps_nxt_yr,Consensus estimate of earnings per share (EPS) for the next fiscal year,MATRIX,100%,109,355
anl69_analyst_best_fiscal_period_dt,Fiscal Period Date,VECTOR,100%,6,23
anl69_analyst_best_fperiod_override,Fiscal Period Override,VECTOR,100%,6,8
anl69_analyst_expected_report_dt,The expected date the company will release its earnings report,MATRIX,100%,40,95
anl69_analyst_expected_report_period,Expected Earnings Report Period,VECTOR,100%,2,5
anl69_analyst_expected_report_time,The expected time of day at which the earnings report will be released,MATRIX,100%,40,89
anl69_analyst_latest_ann_dt_qtrly,Latest Announcement Date Quarterly,VECTOR,100%,3,3
anl69_analyst_market_status,Market Status,VECTOR,100%,2,3
anl69_analyst_most_recent_period_end_dt,Most Recent Period End Date,VECTOR,100%,3,3
anl69_analyst_tot_analyst_rec,Total Analyst Recommendations,VECTOR,100%,8,9
anl69_bbg_dividend_information_m21_hs_dvd_yqe,Dividend Per Share 12 Month (Net),MATRIX,50%,36,106
anl69_bbg_equity_m21_hs_dvd_yqe,The total gross dividend paid per share over the past 12 months,MATRIX,55%,6,6
