Field,Description,Type,Coverage,Users,Alphas
anl27_accuracy_analyst_analyst,"Masked or anonymized identifier for a specific analyst, unique and non-revealing",VECTOR,88%,55,186
anl27_accuracy_estimator_analyst,Number of analysts who belong to this estimator (broker/institution) and have made forecasts on this stock,VECTOR,88%,19,23
anl27_analyst_accuracy1,"Ratio of correct_forecast_times1 to total_forecast_times1, measuring ""ever-hit"" forecast accuracy of the analyst",VECTOR,85%,25,58
anl27_analyst_accuracy2,"Ratio of correct_forecast_times2 to total_forecast_times2, measuring ""horizon-hit"" forecast accuracy of the analyst",VECTOR,77%,12,20
anl27_analyst_consistency,"Negative standard deviation of (forecast value - actual value); less negative value means more consistent forecasts (for price targets, actual is horizon close price)",VECTOR,82%,15,16
anl27_analyst_correct_forecast_times1,"Number of forecasts in total_forecast_times1 where the price target was ever hit between day after forecast and today (""ever-hit"" rule)",VECTOR,85%,8,11
anl27_analyst_correct_forecast_times2,"Number of forecasts in total_forecast_times2 where price target was hit exactly on the horizon date (""horizon-hit"" rule)",VECTOR,77%,12,19
anl27_analyst_correct_revision_ratio,Proportion of correct revisions out of total revisions (correct_revision_times divided by total_revision_times),VECTOR,82%,19,21
anl27_analyst_correct_revision_times,Number of forecast revisions by the analyst that moved closer to the eventually realized/actual value,VECTOR,82%,13,15
anl27_analyst_relative_accuracy1,Rank of the analyst’s accuracy1 among all analysts covering the same stock,VECTOR,88%,18,55
anl27_analyst_relative_accuracy2,Normalized accuracy1 score for the analyst: (accuracy1 - min)/(max - min) among analysts covering the same stock,VECTOR,77%,6,8
anl27_analyst_relative_accuracy3,Rank of the analyst’s accuracy2 among all analysts covering the same stock,VECTOR,88%,9,10
anl27_analyst_relative_accuracy4,Normalized accuracy2 score for the analyst: (accuracy2 - min)/(max - min) among analysts covering the same stock,VECTOR,74%,6,6
anl27_analyst_relative_consistency1,Rank of the analyst's consistency among analysts covering the same stock (lower rank indicates higher consistency),VECTOR,82%,11,14
anl27_analyst_relative_consistency2,"Normalized consistency score for the analyst: (consistency - min(consistency)) / (max(consistency) - min(consistency)), range [0,1] among peer analysts on the same stock",VECTOR,74%,3,8
anl27_analyst_relative_ratio1,Rank (ordinal position) of the analyst's correct_revision_ratio relative to other analysts covering the same equity on that date,VECTOR,86%,12,19
anl27_analyst_relative_ratio2,"Normalized score of the analyst's correct_revision_ratio in the context of the peer set, on a 0–1 scale based on the minimum and maximum among peers",VECTOR,76%,15,23
anl27_analyst_total_forecast_times1,"Total number of forecasts made by the analyst in the lookback window, counted for the ""ever-hit"" (rule 1) accuracy calculation",VECTOR,88%,15,19
anl27_analyst_total_forecast_times2,"Total number of forecasts made by the analyst in the lookback window, considered for the ""horizon-hit"" (rule 2) accuracy calculation",VECTOR,88%,7,9
anl27_analyst_total_revision_times,Total number of forecast revisions (updates) made by the analyst over the period considered,VECTOR,86%,11,13
anl27_consistency_analyst_analyst,"An anonymized, masked identifier code for the individual analyst",VECTOR,89%,15,20
anl27_consistency_analyst_total_forecast_times,"Total number of forecasts the analyst made in the lookback period: [Today-504, min{Today-126, Today-horizon_days}]",VECTOR,89%,12,16
anl27_consistency_estimator_analyst,Number of distinct analysts within the estimator who have made forecasts for this stock,VECTOR,89%,13,25
anl27_consistency_estimator_total_forecast_times,"Total number of forecasts made by the estimator for the stock over the lookback window ([Today-504, min{Today-126, Today-horizon_days}])",VECTOR,89%,11,18
anl27_correv_analyst_analyst,Anonymized/masked unique code identifying the individual analyst,VECTOR,88%,15,38
anl27_correv_estimator_analyst,Number of analysts within the estimator who have made forecasts for the given stock,VECTOR,88%,6,10
anl27_estimator_accuracy1,"Ratio of correct_forecast_times1 to total_forecast_times1, measuring realized “ever-hit” accuracy of the estimator’s analysts for the stock",VECTOR,85%,6,6
anl27_estimator_accuracy2,"Ratio of correct_forecast_times2 to total_forecast_times2, measuring realized strict “horizon-hit” accuracy of the estimator’s analysts for the stock",VECTOR,78%,4,6
anl27_estimator_consistency,"Negative realized standard deviation of (forecast value - actual value) for the estimator's forecasts, with actual value as the close price at the horizon date; less negative indicates greater consistency",VECTOR,83%,10,11
anl27_estimator_correct_forecast_times1,Number of those forecasts where the equity price at any point since the next day of forecast until today hit the price target (rule 1#),VECTOR,85%,15,21
anl27_estimator_correct_forecast_times2,Number of those forecasts where the equity price hit the price target on exactly the horizon date (rule 2#),VECTOR,78%,6,9
anl27_estimator_correct_revision_ratio,"Fraction of revisions that were correct, calculated as correct_revision_times divided by total_revision_times",VECTOR,82%,8,13
anl27_estimator_correct_revision_times,"Number of forecast revisions judged to be correct (i.e., moved closer to the realized value)",VECTOR,82%,11,18
anl27_estimator_relative_accuracy1,Rank of estimator’s accuracy1 compared to other estimators covering the same stock,VECTOR,88%,6,18
anl27_estimator_relative_accuracy2,Min-max normalized score of estimator’s accuracy1 relative to other estimators for the same stock,VECTOR,76%,5,8
anl27_estimator_relative_accuracy3,Rank of estimator’s accuracy2 compared to other estimators covering the same stock,VECTOR,88%,9,14
anl27_estimator_relative_accuracy4,Min-max normalized score of estimator’s accuracy2 relative to other estimators for the same stock,VECTOR,75%,7,9
anl27_estimator_relative_consistency1,rank(consistency) over analysts covering the same stock,VECTOR,83%,7,7
anl27_estimator_relative_consistency2,Normalized consistency score for the estimator: (consistency - min) / (max - min) across estimators covering the same stock,VECTOR,75%,12,19
anl27_estimator_relative_ratio1,Peer-relative rank of the estimator's correct_revision_ratio compared to other estimators covering the same equity,VECTOR,86%,11,12
anl27_estimator_relative_ratio2,Peer-relative normalized score for the estimator's correct_revision_ratio scaled between 0 and 1 based on cross-sectional minimum and maximum values for the equity,VECTOR,76%,11,13
