Field,Description,Type,Coverage,Users,Alphas
opt23_bbo_trans_iv_gamma,Gamma,VECTOR,93%,15,23
opt23_bbo_trans_iv_impliedvolatility,Implied Volatility of each option,VECTOR,93%,21,33
opt23_bbo_trans_iv_iv_call,Daily Implied volatility average of call options,MATRIX,93%,159,386
opt23_bbo_trans_iv_iv_put,Daily Implied volatility average of put options,MATRIX,93%,119,303
opt23_bbo_trans_iv_ra_gamma,Gamma,VECTOR,93%,1,2
opt23_bbo_trans_iv_ra_impliedvolatility,Implied Volatility of each option,VECTOR,93%,22,38
opt23_bbo_trans_iv_ra_iv_call,Daily Implied volatility average of call options,MATRIX,93%,83,334
opt23_bbo_trans_iv_ra_iv_put,Daily Implied volatility average of put options,MATRIX,93%,71,185
opt23_bbo_trans_iv_ra_openinterest,Open Interest,VECTOR,94%,15,22
opt23_bbo_trans_iv_ra_rfr,Risk Free Rate of Return,VECTOR,94%,7,15
opt23_bbo_trans_iv_ra_rho,Rho,VECTOR,93%,4,4
opt23_bbo_trans_iv_ra_strikeprice,Strike Price of option,VECTOR,94%,1,1
opt23_bbo_trans_iv_ra_theta,Theta,VECTOR,93%,6,8
opt23_bbo_trans_iv_ra_valid_close,valid*close,MATRIX,94%,18,64
opt23_bbo_trans_iv_ra_vega,Vega,VECTOR,93%,1,1
opt23_bbo_trans_iv_ra_volume,Volume,VECTOR,94%,10,15
opt23_bbo_trans_iv_rho,Rho,VECTOR,93%,4,9
opt23_bbo_trans_iv_theta,Theta,VECTOR,93%,2,2
opt23_bbo_trans_iv_vega,Vega,VECTOR,93%,2,3
opt23_bbo_trans_iv_weight_avg_oigammacall0,Open Interest-weighted average Gamma for all call options,MATRIX,93%,15,20
opt23_bbo_trans_iv_weight_avg_oigammacall1,Open interest-weighted average Gamma for near in-the-money and out-of-the-money call options in bucket 1,MATRIX,92%,4,5
opt23_bbo_trans_iv_weight_avg_oigammacall2,Weighted average Gamma for near out-of-the-money and in-the-money call options. Open Interest is used as weights.,MATRIX,93%,5,9
opt23_bbo_trans_iv_weight_avg_oigammacall3,Open interest-weighted average Gamma for out-of-the-money call options in bucket 3,MATRIX,92%,5,7
opt23_bbo_trans_iv_weight_avg_oigammacall4,Weighted average Gamma for near-the-money call options. Open Interest is used as weights.,MATRIX,90%,2,4
opt23_bbo_trans_iv_weight_avg_oigammacall5,Open Interest-weighted average Gamma for in-the-money call options in bucket 5,MATRIX,92%,5,6
opt23_bbo_trans_iv_weight_avg_oigammacall6,Open interest-weighted average Gamma for far out-of-the-money call options in bucket 6,MATRIX,90%,3,3
opt23_bbo_trans_iv_weight_avg_oigammacall7,Open Interest-weighted average Gamma for near out-of-the-money call options in bucket 7,MATRIX,88%,4,6
opt23_bbo_trans_iv_weight_avg_oigammacall8,Weighted average Gamma for near in-the-money call options. Open Interest is used as weights.,MATRIX,88%,4,4
opt23_bbo_trans_iv_weight_avg_oigammacall9,Weighted average Gamma for deep in-the-money call options. Open Interest is used as weights,MATRIX,91%,7,10
opt23_bbo_trans_iv_weight_avg_oigammacallmput0,Weighted average Gamma for all call and put options. Open Interest is used as weights.,MATRIX,92%,14,28
opt23_bbo_trans_iv_weight_avg_oigammacallmput1,Weighted average Gamma for near in-the-money and out-of-the-money call and put options. Open Interest is used as weights.,MATRIX,91%,7,11
opt23_bbo_trans_iv_weight_avg_oigammacallmput2,Weighted average Gamma for near out-of-the-money and in-the-money call and put options. Open Interest is used as weights.,MATRIX,91%,10,15
opt23_bbo_trans_iv_weight_avg_oigammacallmput3,Weighted average Gamma for out-of-the-money call and put options using open interest as weights,MATRIX,89%,9,10
opt23_bbo_trans_iv_weight_avg_oigammacallmput4,Weighted average Gamma for near-the-money call and put options using Open Interest as weights,MATRIX,88%,6,6
opt23_bbo_trans_iv_weight_avg_oigammacallmput5,Weighted average Gamma for in-the-money call and put options. Open Interest is used as weights.,MATRIX,88%,6,8
opt23_bbo_trans_iv_weight_avg_oigammacallmput6,Weighted average Gamma for far out-of-the-money call and put options. Open Interest is used as weights.,MATRIX,86%,7,7
opt23_bbo_trans_iv_weight_avg_oigammacallmput7,Open Interest-weighted average Gamma for near out-of-the-money call and put options,MATRIX,54%,7,7
opt23_bbo_trans_iv_weight_avg_oigammacallmput8,"Weighted average Gamma for near in-the-money call and put options, using Open Interest as weights",MATRIX,53%,3,3
opt23_bbo_trans_iv_weight_avg_oigammacallmput9,"Weighted average Gamma for deep in-the-money call and put options in bucket 9, using open interest as weights",MATRIX,92%,9,22
opt23_bbo_trans_iv_weight_avg_oigammacallmputs1,"Open Interest-weighted average Gamma for near in-the-money and out-of-the-money call options, and in-the-money put options with the same strike prices",MATRIX,91%,27,47
opt23_bbo_trans_iv_weight_avg_oigammacallmputs2,"Weighted average Gamma for near out-of-the-money call options and in-the-money put options in surface region S2, using open interest as weights",MATRIX,91%,5,11
opt23_bbo_trans_iv_weight_avg_oigammacallmputs3,Weighted average Gamma for out-of-the-money call options and in-the-money put options with the same strike prices using open interest weights,MATRIX,89%,9,9
opt23_bbo_trans_iv_weight_avg_oigammacallmputs5,Open Interest-weighted average Gamma for in-the-money call and put options with the same strike prices in surface region S5,MATRIX,91%,5,7
opt23_bbo_trans_iv_weight_avg_oigammacallmputs6,"Weighted average Gamma for far out-of-the-money call options, and in-the-money put options with the same strike prices. Open Interest is used as weights",MATRIX,86%,6,6
opt23_bbo_trans_iv_weight_avg_oigammacallmputs7,Weighted average Gamma for near out-of-the-money call options and in-the-money put options with the same strike prices using open interest as weights,MATRIX,86%,3,3
opt23_bbo_trans_iv_weight_avg_oigammacallmputs8,"Weighted average Gamma for near in-the-money call options, and in-the-money put options with the same strike prices. Open Interest is used as weights.",MATRIX,86%,3,5
opt23_bbo_trans_iv_weight_avg_oigammacallmputs9,Open interest-weighted average option gamma for deep in-the-money calls minus in-the-money puts within surface region S9,MATRIX,88%,2,2
opt23_bbo_trans_iv_weight_avg_oigammaput0,Weighted average Gamma for all put options. Open Interest is used as weights.,MATRIX,93%,13,23
opt23_bbo_trans_iv_weight_avg_oigammaput1,Weighted average Gamma for near in-the-money and out-of-the-money put options using open interest as weights,MATRIX,92%,2,2
opt23_bbo_trans_iv_weight_avg_oigammaput2,Weighted average Gamma for near out-of-the-money and in-the-money put options. Open Interest is used as weights.,MATRIX,92%,3,3
opt23_bbo_trans_iv_weight_avg_oigammaput3,Weighted average Gamma for out-of-the-money put options. Open Interest is used as weights.,MATRIX,91%,5,6
opt23_bbo_trans_iv_weight_avg_oigammaput4,Weighted average Gamma for near-the-money put options. Open Interest is used as weights.,MATRIX,89%,4,4
opt23_bbo_trans_iv_weight_avg_oigammaput5,"Weighted average Gamma for in-the-money put options, weighted by Open Interest",MATRIX,91%,1,1
opt23_bbo_trans_iv_weight_avg_oigammaput6,Open Interest-weighted average Gamma for far out-of-the-money put options,MATRIX,90%,3,3
opt23_bbo_trans_iv_weight_avg_oigammaput7,Open interest-weighted average Gamma (rate of change of delta) for near out-of-the-money put options in bucket 7,MATRIX,87%,2,2
opt23_bbo_trans_iv_weight_avg_oigammaput8,Weighted average Gamma for near in-the-money put options. Open Interest is used as weights,MATRIX,86%,2,2
opt23_bbo_trans_iv_weight_avg_oigammaput9,Weighted average Gamma for deep in-the-money put options. Open Interest is used as weights.,MATRIX,88%,4,8
opt23_bbo_trans_iv_weight_avg_oiivcall0,"Weighted average implied volatility for all call options, using open interest as weights",MATRIX,93%,25,53
opt23_bbo_trans_iv_weight_avg_oiivcall1,Open interest-weighted average implied volatility for near in-the-money and out-of-the-money call options in bucket 1,MATRIX,92%,10,25
opt23_bbo_trans_iv_weight_avg_oiivcall2,Open Interest-weighted average implied volatility for near out-of-the-money and in-the-money call options,MATRIX,93%,15,44
opt23_bbo_trans_iv_weight_avg_oiivcall3,Open Interest-weighted average implied volatility for out-of-the-money call options,MATRIX,92%,11,17
opt23_bbo_trans_iv_weight_avg_oiivcall4,Open Interest-weighted average Implied Volatility for near-the-money call options,MATRIX,90%,6,10
opt23_bbo_trans_iv_weight_avg_oiivcall5,Weighted average Implied volatility for in-the-money call options. Open Interest is used as weights,MATRIX,92%,8,12
