Field,Description,Type,Coverage,Users,Alphas
oth131_adj_sum_aret_prev_fund_sec_mv12_adj_avg_fundgp_turnover_w_stx,"average owner turnover in the industry group, weighted by Alpha-ROE",MATRIX,84%,36,90
oth131_adj_sum_aret_prev_fund_sec_mv12_avg_fund_cap_w_stx,"average owner market cap, weighted by Alpha-ROE",MATRIX,84%,18,28
oth131_adj_sum_aret_prev_fund_sec_mv12_avg_fund_turnover_w_stx,"average owner turnover, weighted by Alpha-ROE",MATRIX,84%,20,39
oth131_adj_sum_aret_prev_fund_sec_mv12_avg_fundsec_cap_w_stx,"average owner market cap in the sector, weighted by Alpha-ROE",MATRIX,84%,13,57
oth131_adj_sum_aret_prev_fund_sec_mv12_avg_weight_delta_w_stx,"change of avg weight across owners, weighted by Alpha-ROE",MATRIX,84%,13,75
oth131_adj_sum_aret_prev_fund_sec_mv12_avg_weight_in_fundsec_w_stx,"avg weight in sector across owners, weighted by Alpha-ROE",MATRIX,84%,12,16
oth131_adj_sum_aret_prev_fund_sec_mv12_avg_weight_w_stx,"avg weight across owners, weighted by Alpha-ROE",MATRIX,84%,11,75
oth131_adj_sum_aret_prev_fund_sec_mv12_cap_delta_4_w_over_adv_stx,"12m level change, conviction-weighted by ADV, weighted by Alpha-ROE",MATRIX,84%,15,59
oth131_adj_sum_aret_prev_fund_sec_mv12_cap_delta_w_over_adv_stx,"level change, conviction-weighted by ADV, weighted by Alpha-ROE",MATRIX,84%,23,99
oth131_adj_sum_aret_prev_fund_sec_mv12_intensity_w_delta_4_stx,"12m change of percentage of float-adjusted number of shares outstanding held by the owners, weighted by Alpha-ROE",MATRIX,84%,6,79
oth131_adj_sum_aret_prev_fund_sec_mv12_intensity_w_delta_stx,"3m change of percentage of float-adjusted number of shares outstanding held by the owners, weighted by Alpha-ROE",MATRIX,84%,19,88
oth131_adj_sum_aret_prev_fund_sec_mv12_intensity_w_stx,"percentage of float-adjusted number of shares outstanding held by the owners, weighted by Alpha-ROE",MATRIX,84%,21,111
