Field,Description,Type,Coverage,Users,Alphas
opt6_1000dorhv,1000-day realized historical intraday volatility based on open-high-low-close prices,MATRIX,98%,142,591
opt6_10dorhv,10-day realized historical intraday volatility based on open-high-low-close prices,MATRIX,98%,78,303
opt6_120dorhv,120-day open-high-low-close realized historical volatility,MATRIX,98%,92,221
opt6_1dorhv,The 1-day historical intraday volatility,MATRIX,98%,60,257
opt6_20div,20-day interpolated implied at-the-money volatility (calendar day),MATRIX,98%,54,234
opt6_20dorhv,20-day historical intraday volatility based on open-high-low-close prices,MATRIX,98%,60,272
opt6_252dorhv,The 252-day historical intraday volatility,MATRIX,98%,60,179
opt6_2rtscf,Goodness of fit metric for the 20-day volatility forecast compared to the actual future 20-day realized volatility,MATRIX,98%,82,364
opt6_30div,The 20-day interpolated implied volatility.,MATRIX,98%,61,300
opt6_500dorhv,The 500-day historical intraday volatility,MATRIX,98%,57,223
opt6_5dorhv,5-day historical realized volatility using open-high-low-close prices,MATRIX,98%,48,274
opt6_60div,Interpolated implied volatility for a 60-day expiry,MATRIX,98%,47,152
opt6_60dorhv,The 60-day historical intraday volatility,MATRIX,98%,71,388
opt6_90div,90-day interpolated implied volatility,MATRIX,98%,47,118
opt6_90dorhv,The 90-day historical intraday volatility.,MATRIX,98%,51,98
opt6_absavgernmv,Average percentage absolute stock price move associated with the next earnings announcement,MATRIX,98%,101,618
opt6_am002vi,The 200-day moving average of the vendor 20-day ex-earn implied volatility.,MATRIX,98%,58,195
opt6_asset_type,"Classification of stock type indicating easy-to-borrow, hard-to-borrow, dividend paying status, or security type such as ETF or index using predefined codes",MATRIX,98%,43,139
opt6_bestetf,The closest SPDR Sector ETF (default to SPY or RUT if none).,MATRIX,83%,60,205
opt6_beta1m,Short term price beta with SPY for 30 calendar days,MATRIX,98%,67,333
opt6_beta1y,One-year price beta measuring sensitivity to market movements over 365 calendar days,MATRIX,98%,77,209
opt6_correletf1m,Vendor 30-day implied volatility ex-earnings correlation with the best ETF 30-day IV over the last month.,MATRIX,98%,58,164
opt6_correletf1y,One-year rolling correlation between vendor 30-day implied volatility excluding earnings of the asset and the SPDR sector ETF 30-day implied volatility,MATRIX,98%,105,308
opt6_correlspy1m,Vendor 30-day implied volatility ex-earnings correlation with SPY one month.,MATRIX,98%,56,260
opt6_correlspy1y,One-year correlation of 30-day ex-earnings implied volatility of the asset with that of SPY,MATRIX,98%,82,242
opt6_cvolu,Today’s call option volume for all strikes for the current trading day,MATRIX,98%,49,139
opt6_derivinf,Derivative infinite implied.,MATRIX,98%,60,476
opt6_derivinffcst,Forecast infinite derivative.,MATRIX,98%,57,348
opt6_divamt,Dividend amount,MATRIX,98%,44,339
opt6_divfreq,Number of dividends paid per year,MATRIX,98%,91,360
opt6_divyield,Annualized dividend yield calculated as dividends divided by current stock price,MATRIX,98%,114,388
opt6_etfincl,The ETFs where the symbol is a component pipe delimited if multiple.,MATRIX,26%,5,5
opt6_etfivhvxernratio,"Ratio of 30-day implied volatility excluding earnings divided by 20-day ex-earnings historical volatility, normalized by ETF equivalent ratio",MATRIX,98%,42,213
opt6_etfivhvxernratio1m,"Ratio of 30-day implied volatility excluding earnings divided by 20-day ex-earnings historical volatility, normalized by ETF equivalent ratio, averaged over one month",MATRIX,98%,58,287
opt6_etfivhvxernratio1y,30-day implied volatility ex-earnings / HV20xErn Ratio divided by ETF 30-day implied / HV20d ratio year average.,MATRIX,98%,64,230
opt6_etfivhvxernratiostd1y,30-day implied volatility ex-earnings / HV20xErn Ratio divided by ETF 30-day implied / HV20d ratio year standard deviation.,MATRIX,98%,84,275
opt6_etfsloperatio,Slope divided by ETF slope current,MATRIX,98%,47,153
opt6_etfsloperatioavg1m,Slope divided by ETF slope month average,MATRIX,98%,52,136
