Field,Description,Type,Coverage,Users,Alphas
mdl230_allcap_sedol_60dsigma,Standard deviation of monthly price returns (volatility sigma),MATRIX,82%,166,648
mdl230_allcap_sedol_6351_rp,Moving average of prices in the last 15 weeks divided by the moving average of prices in the last 36 weeks,MATRIX,79%,91,464
mdl230_allcap_sedol_actrtn12m,Percent change in the stock’s price from month t-13 to month t-1 (twelve-month trailing return excluding the current month),MATRIX,78%,74,243
mdl230_allcap_sedol_actrtn18m,Percent change in price from month t-19 to month t-1,MATRIX,77%,97,846
mdl230_allcap_sedol_actrtn1m,Percent change in price from month t-1 to month t,MATRIX,83%,60,159
mdl230_allcap_sedol_actrtn24m,Percent change in price from month t-25 to month t-1,MATRIX,75%,118,747
mdl230_allcap_sedol_actrtn2m,Percent change in price from month t-2 to month t,MATRIX,83%,73,232
mdl230_allcap_sedol_actrtn36m,Percent change in price from month t−37 to month t−1 (36-month trailing return excluding the current month),MATRIX,71%,223,4422
mdl230_allcap_sedol_actrtn3m,It is defined as the percent change in price for a stock from month t-3 to month t,MATRIX,82%,59,136
mdl230_allcap_sedol_actrtn60m,Percent change in price from month t-61 to month t-1,MATRIX,65%,152,2625
mdl230_allcap_sedol_actrtn60m12lag,Percent change in price from month t-72 to month t-12,MATRIX,63%,78,311
mdl230_allcap_sedol_actrtn6m,Percent change in the stock’s price from month t-7 to month t-1 (six-month trailing return excluding the current month),MATRIX,80%,63,270
mdl230_allcap_sedol_actrtn9m,Price percent change from month t-10 to month t-1,MATRIX,78%,51,397
mdl230_allcap_sedol_ad,Most recent total debt divided by total assets (debt-to-assets ratio),MATRIX,71%,24,44
mdl230_allcap_sedol_adpmoc,"Most recent sum of long-term debt, short-term debt, underfunded pension liabilities, operating lease expense, and preferred stock, divided by total assets",MATRIX,81%,29,91
mdl230_allcap_sedol_ags,"TTM selling, general and administrative expenses divided by TTM sales",MATRIX,74%,37,94
mdl230_allcap_sedol_alpha60m,Intercept from a regression of the stock’s monthly returns on S&P 500 monthly returns over the last 60 months,MATRIX,65%,60,545
mdl230_allcap_sedol_altmanz,"Altman Z-score, a formula used to measure a company’s bankruptcy risk based on multiple balance sheet metrics",MATRIX,69%,78,723
mdl230_allcap_sedol_aoer,"Retained earnings to assets, defined as most recent quarter cumulative retained earnings divided by total assets",MATRIX,82%,16,42
mdl230_allcap_sedol_aor,"Return on Assets, typically net income divided by total assets",MATRIX,82%,24,35
mdl230_allcap_sedol_apemtt,Most recently reported TTM EPS after extraordinary items divided by month-end trading price,MATRIX,82%,95,1893
mdl230_allcap_sedol_apg,"Gross profit to assets ratio, defined as TTM sales minus COGS divided by total assets",MATRIX,72%,29,208
mdl230_allcap_sedol_apgghcy1_,Difference between most recent quarterly gross profit to assets and the same quarter one year ago; GPA = TTM (Sales − COGS) / total assets,MATRIX,72%,14,17
mdl230_allcap_sedol_apgghcy3_,Difference between the most recent quarterly gross profit-to-assets ratio and that of the same quarter three years ago; gross profit-to-assets = TTM (Sales - COGS) / total assets,MATRIX,69%,34,232
mdl230_allcap_sedol_aspanratio,"Quarterly operating assets minus operating liabilities, scaled by lagged total assets",MATRIX,76%,25,88
mdl230_allcap_sedol_aspemtty3gc,Three-year geometric growth rate of the most recently reported TTM EPS after extraordinary items,MATRIX,78%,72,943
mdl230_allcap_sedol_astcomp,Total current assets from the most recent quarter divided by total assets from the most recent quarter,MATRIX,69%,25,65
mdl230_allcap_sedol_astto,Asset turnover: TTM sales divided by the most recently reported quarterly total assets,MATRIX,79%,15,25
mdl230_allcap_sedol_avg10yep,Average earnings over the past 10 years divided by current price,MATRIX,72%,20,52
mdl230_allcap_sedol_beta,"Beta, a standard measure of a stock's systematic risk or sensitivity to market movements",MATRIX,74%,16,31
mdl230_allcap_sedol_betasigma,Product of the adjusted 60-month beta and the 60-month sigma (standard deviation of monthly price returns),MATRIX,65%,15,26
mdl230_allcap_sedol_bmpo,Most recent quarterly operating income divided by the corresponding quarterly sales (operating margin),MATRIX,78%,19,30
mdl230_allcap_sedol_booklev,Most recent quarterly total assets divided by book equity,MATRIX,82%,16,26
mdl230_allcap_sedol_bpemtt,TTM EPS before extraordinary items divided by month-end price (earnings-to-price),MATRIX,82%,41,151
mdl230_allcap_sedol_capacq,"Trailing 12-month operating cash flow minus trailing 12-month cash dividends, divided by total expenditures in the same period",MATRIX,79%,19,23
mdl230_allcap_sedol_capexast,Trailing 12-month capital expenditures divided by total assets from the most recent quarter,MATRIX,79%,21,36
mdl230_allcap_sedol_capexdeplink,Absolute value of the difference between ranked (1–1000) quarterly capital expenditures to assets and ranked (1–1000) quarterly depreciation to assets,MATRIX,79%,20,32
mdl230_allcap_sedol_capexsale,TTM capital expenditures divided by TTM sales (CapEx-to-sales),MATRIX,77%,18,41
mdl230_allcap_sedol_cashburnrate,Negative of (Cash From Operations + Cash from Investments) divided by (Cash + Short‑term Investments),MATRIX,76%,14,23
mdl230_allcap_sedol_cashc,"Cash conversion cycle in days, defined as average inventory days plus average collection days minus average payable days",MATRIX,61%,13,33
mdl230_allcap_sedol_cashp,Most recently reported cash and equivalents per share divided by the month-end trading price,MATRIX,76%,15,30
mdl230_allcap_sedol_cashratio,Most recent quarterly cash and equivalents divided by current liabilities,MATRIX,69%,14,45
mdl230_allcap_sedol_cashsale,Average cash and equivalents in the trailing 12 months divided by the trailing 12-month sales,MATRIX,73%,14,19
mdl230_allcap_sedol_cashsev,Total cash and equivalents divided by (market value of common equity + book value of long-term debt),MATRIX,76%,12,15
mdl230_allcap_sedol_ccacw,Working capital accruals equal to increase in accounts receivable plus increase in inventory plus decrease in accounts payable and accrued liabilities plus decrease in accrued income taxes plus net increase in other assets or decrease in other liabilities,MATRIX,67%,31,108
mdl230_allcap_sedol_ceroe,Trailing 12-month funds from operations divided by the average of current and previous year equity value,MATRIX,74%,24,34
mdl230_allcap_sedol_cfita,Trailing 12‑month cash flow from investing activities divided by the average total assets over the last four quarters,MATRIX,82%,8,13
mdl230_allcap_sedol_cfleverage,Total liabilities divided by the trailing 12-month operating cash flow,MATRIX,63%,14,15
