Field,Description,Type,Coverage,Users,Alphas
oth551_aev_2r,Daily R-squared value of VEA returns relative to its benchmark index.,MATRIX,100%,69,139
oth551_beta_iwm,Daily beta of IWM relative to its benchmark index.,MATRIX,100%,38,55
oth551_beta_mtum,Daily beta of MTUM relative to its benchmark index.,MATRIX,100%,54,88
oth551_beta_qqq,Daily beta of QQQ relative to its benchmark index.,MATRIX,100%,54,145
oth551_beta_qual,Daily beta of QUAL relative to its benchmark index.,MATRIX,100%,47,71
oth551_beta_size,Daily beta of SIZE relative to its benchmark index.,MATRIX,100%,190,327
oth551_beta_spy,Daily beta of SPY relative to its benchmark index.,MATRIX,100%,36,45
oth551_beta_usmv,Daily beta of USMV relative to its benchmark index.,MATRIX,100%,46,93
oth551_beta_vea,Daily beta of VEA relative to its benchmark index.,MATRIX,100%,21,30
oth551_beta_vlue,Daily beta of VLUE relative to its benchmark index.,MATRIX,100%,68,102
oth551_beta_vt,Daily beta of VT relative to its benchmark index.,MATRIX,100%,120,209
oth551_beta_vwo,Daily beta of VWO relative to its benchmark index.,MATRIX,100%,23,24
oth551_mwi_2r,Daily R-squared value of IWM returns relative to its benchmark index.,MATRIX,100%,32,88
oth551_owv_2r,Daily R-squared value of VWO returns relative to its benchmark index.,MATRIX,100%,36,97
oth551_qqq_2r,Daily R-squared value of QQQ returns relative to its benchmark index.,MATRIX,100%,16,17
oth551_r2_mtum,Daily R-squared value of MTUM returns relative to its benchmark index.,MATRIX,100%,39,52
oth551_r2_qual,Daily R-squared value of QUAL returns relative to its benchmark index.,MATRIX,100%,120,173
oth551_r2_size,Daily R-squared value of SIZE returns relative to its benchmark index.,MATRIX,100%,141,288
oth551_r2_spy,Daily R-squared value of SPY returns relative to its benchmark index.,MATRIX,100%,24,27
oth551_r2_vlue,Daily R-squared value of VLUE returns relative to its benchmark index.,MATRIX,100%,65,98
oth551_resret_iwm,Daily residual return of IWM relative to its benchmark index.,MATRIX,100%,26,27
oth551_resret_mtum,Daily residual return of MTUM relative to its benchmark index.,MATRIX,100%,81,336
oth551_resret_qqq,Daily residual return of QQQ relative to its benchmark index.,MATRIX,100%,56,185
oth551_resret_qual,Daily residual return of QUAL relative to its benchmark index.,MATRIX,100%,87,247
oth551_resret_size,Daily residual return of SIZE relative to its benchmark index.,MATRIX,100%,166,403
oth551_resret_spy,Daily residual return of SPY relative to its benchmark index.,MATRIX,100%,53,304
oth551_resret_usmv,Daily residual return of USMV relative to its benchmark index.,MATRIX,100%,56,222
oth551_resret_vea,Daily residual return of VEA relative to its benchmark index.,MATRIX,100%,70,305
oth551_resret_vlue,Daily residual return of VLUE relative to its benchmark index.,MATRIX,100%,68,153
oth551_resret_vt,Daily residual return of VT relative to its benchmark index.,MATRIX,100%,53,222
oth551_resret_vwo,Daily residual return of VWO relative to its benchmark index.,MATRIX,100%,69,312
oth551_tv_2r,Daily R-squared value of VT returns relative to its benchmark index.,MATRIX,100%,13,17
oth551_vmsu_2r,Daily R-squared value of USMV returns relative to its benchmark index.,MATRIX,100%,33,65
