Field,Description,Type,Coverage,Users,Alphas
earnings_news_mention_count,"Number of news items per security and date that mention ""earnings,"" ""earning,"" or ""EPS"" in the text, representing earnings-related news frequency",MATRIX,90%,81,167
earnings_news_mention_count_fast_d1,"Number of news items per security and date that mention ""earnings,"" ""earning,"" or ""EPS"" in the text, representing earnings-related news frequency",MATRIX,90%,15,15
headline_negative_score_value,Score representing the negative sentiment in the news headline.,MATRIX,92%,7,7
headline_negative_score_value_v2,The average proportion of negative words to total words found in the headlines of all news articles for a given security and date,MATRIX,100%,22,90
headline_negative_sentiment_score,Ratio of negative words to total words in the story headline,VECTOR,3%,0,0
headline_negative_sentiment_score_story,Ratio of negative words to total words in the headline,VECTOR,35%,18,25
headline_negative_term_count,"Number of news headlines with negative sentiment for each security and date, reflecting frequency of negative news",MATRIX,92%,5,5
headline_negative_term_count_v2,total count of negative words in the headlines of all news stories,MATRIX,100%,56,157
headline_negative_word_count,Number of negative words in the story headline,VECTOR,92%,2,6
headline_negative_word_count_story,Number of negative words in the headline across all news articles,VECTOR,92%,21,37
headline_news_mention_count,"Total count of news headlines for each security and date, aggregating all news events regardless of sentiment",MATRIX,92%,70,236
headline_news_mention_count_v2,The total number of news articles considered for a given security and date,MATRIX,100%,152,576
headline_positive_score_value,Score representing the positive sentiment in the news headline.,MATRIX,92%,5,8
headline_positive_score_value_v2,The average proportion of positive words to total words found in the headlines of all news articles for a given security and date,MATRIX,100%,3,3
headline_positive_sentiment_score,Ratio of positive words to total words in the story headline,VECTOR,6%,2,2
headline_positive_sentiment_score_story,Ratio of positive words to total words in the headline,VECTOR,22%,3,5
headline_positive_term_count,"Number of news headlines with positive sentiment for each security and date, reflecting frequency of positive news",MATRIX,92%,3,5
headline_positive_term_count_v2,total count of positive words in the headlines of all news stories,MATRIX,100%,4,4
headline_positive_word_count,Number of positive words in the story headline,VECTOR,92%,0,0
headline_positive_word_count_story,Number of positive words in the headline across all news articles,VECTOR,92%,2,2
headline_sentiment_score_2,"Sentiment score for the headline, calculated as (positive words minus negative words) divided by (positive plus negative words)",VECTOR,8%,1,1
