Field,Description,Type,Coverage,Users,Alphas
pv20_02_5_fma_rd,Chaikin oscillator value over a 5-20 day period.,MATRIX,100%,32,58
pv20_02_5_rvp_rd,Price-volume ratio over a 5-20 day period.,MATRIX,100%,9,24
pv20_02_cdts_rd,Standard deviation of returns over a 20-day period.,MATRIX,100%,5,5
pv20_02_cmlh_rd,High-low midpoint change over a 20-day period.,MATRIX,100%,11,17
pv20_02_lmh_rd,High minus low price range over a 20-day period.,MATRIX,100%,8,16
pv20_02_spcd_rd,Daily closing price spread over a 20-day period.,MATRIX,100%,8,21
pv20_02_spcda_rd,Adjusted daily closing price spread over a 20-day period.,MATRIX,100%,9,18
pv20_03_cmlh_rd,High-low midpoint change over a 30-day period.,MATRIX,100%,7,11
pv20_04_5_rvp_rd,Price-volume ratio over a 5-40 day period.,MATRIX,100%,4,4
pv20_04_cdts_rd,Standard deviation of returns over a 40-day period.,MATRIX,100%,8,22
pv20_04_qil_rd,Liquidity measure over a 40-day period.,MATRIX,100%,5,6
pv20_052_52_rvp_rd,Price-volume ratio over a 25-250 day period.,MATRIX,100%,4,4
pv20_052_5_rvp_rd,Price-volume ratio over a 5-250 day period.,MATRIX,100%,4,4
pv20_052_cdts_rd,Standard deviation of returns over a 250-day period.,MATRIX,100%,7,11
pv20_052_cmlh_rd,High-low midpoint change over a 250-day period.,MATRIX,100%,12,18
pv20_052_lmh_rd,High minus low price range over a 250-day period.,MATRIX,100%,5,5
pv20_052_qil_rd,Liquidity measure over a 250-day period.,MATRIX,100%,4,4
pv20_052_spcd_rd,Daily closing price spread over a 250-day period.,MATRIX,100%,8,8
pv20_052_spcda_rd,Adjusted daily closing price spread over a 250-day period.,MATRIX,100%,4,4
pv20_052vi,Implied volatility over a 250-day period.,MATRIX,100%,13,19
pv20_052vigen,Negative implied volatility over a 250-day period.,MATRIX,100%,8,12
pv20_1_1_rta_rd,Average true range over a 1-day period.,MATRIX,100%,5,18
pv20_1_ard_accounts_payable_trade,ARD Accounts Payable - Trade,MATRIX,74%,3,3
pv20_1_cmlh_rd,High-low midpoint change over a 1-day period.,MATRIX,100%,23,40
pv20_1_lmh_rd,High minus low price range over a 1-day period.,MATRIX,100%,7,13
pv20_1_omlh_rd,High-low midpoint change (open prices) over a 1-day period.,MATRIX,100%,7,8
pv20_1_pvt_rd,Total volume price over a 1-day period.,MATRIX,100%,5,5
pv20_1_qil_rd,Liquidity measure over a 1-day period.,MATRIX,100%,5,7
pv20_1_spcd_rd,Daily closing price spread over a 1-day period.,MATRIX,100%,7,12
pv20_1_spcda_rd,Adjusted daily closing price spread over a 1-day period.,MATRIX,100%,3,3
pv20_1_vmlh_rd,High-low midpoint volatility over a 1-day period.,MATRIX,100%,10,12
pv20_1_vmt_rd,Total market volatility over a 1-day period.,MATRIX,100%,7,17
pv20_21_03ftni_rd,Interval factor for a 30-12 day period.,MATRIX,100%,5,5
pv20_21_13ftni_rd,Interval factor for a 31-12 day period.,MATRIX,100%,5,5
pv20_21_23ftni_rd,Interval factor for a 32-12 day period.,MATRIX,100%,4,4
pv20_21_33ftni_rd,Interval factor for a 33-12 day period.,MATRIX,100%,8,10
pv20_21_43ftni_rd,Interval factor for a 34-12 day period.,MATRIX,100%,6,18
pv20_21_53ftni_rd,Interval factor for a 35-12 day period.,MATRIX,100%,6,16
pv20_21_63ftni_rd,Interval factor for a 36-12 day period.,MATRIX,100%,15,24
pv20_21_73ftni_rd,Interval factor for a 37-12 day period.,MATRIX,100%,6,13
pv20_21_83ftni_rd,Interval factor for a 38-12 day period.,MATRIX,100%,4,5
pv20_252_mom,Momentum factor over a 252-day period.,MATRIX,100%,3,3
pv20_3_lmh_rd,High minus low price range over a 3-day period.,MATRIX,100%,3,3
pv20_52_5_rta_rd,Average true range over a 5-25 day period.,MATRIX,100%,4,4
pv20_5_1_fma_rd,Chaikin oscillator value over a 1-5 day period.,MATRIX,100%,9,18
pv20_5_cdts_rd,Standard deviation of returns over a 5-day period.,MATRIX,100%,3,3
pv20_5_cmlh_rd,High-low midpoint change over a 5-day period.,MATRIX,100%,17,27
pv20_5_lmh_rd,High minus low price range over a 5-day period.,MATRIX,100%,3,3
pv20_5_qil_rd,Liquidity measure over a 5-day period.,MATRIX,100%,4,4
pv20_5_spcd_rd,Daily closing price spread over a 5-day period.,MATRIX,100%,7,16
