Field,Description,Type,Coverage,Users,Alphas
oth432_aacr_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Accounts Receivable,MATRIX,65%,26,70
oth432_aacr_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Accounts Receivable,MATRIX,81%,21,42
oth432_aacr_trkdpitdeltapredict_funda_mae,Mean Average Error of the model of Accounts Receivable,MATRIX,69%,18,36
oth432_aacr_trkdpitdeltapredict_funda_predict,Predict value of Accounts Receivable,MATRIX,81%,36,83
oth432_acae_a_profitability_profitability1,1st profitability field of Annual Cash & Equivalents,MATRIX,95%,36,129
oth432_acae_a_profitability_profitability10,10th profitability field of Annual Cash & Equivalents,MATRIX,59%,23,26
oth432_acae_a_profitability_profitability11,11th profitability field of Annual Cash & Equivalents,MATRIX,60%,20,31
oth432_acae_a_profitability_profitability12,12th profitability field of Annual Cash & Equivalents,MATRIX,77%,15,35
oth432_acae_a_profitability_profitability2,2nd profitability field of Annual Cash & Equivalents,MATRIX,95%,29,37
oth432_acae_a_profitability_profitability3,3rd profitability field of Annual Cash & Equivalents,MATRIX,92%,24,38
oth432_acae_a_profitability_profitability4,4th profitability field of Annual Cash & Equivalents,MATRIX,92%,36,93
oth432_acae_a_profitability_profitability5,5th Profitability Field of Annual Cash & Equivalents,MATRIX,89%,32,61
oth432_acae_a_profitability_profitability6,6th profitability field of Annual Cash & Equivalents,MATRIX,79%,12,23
oth432_acae_a_profitability_profitability7,7th Profitability field of Annual Cash & Equivalents,MATRIX,74%,11,38
oth432_acae_a_profitability_profitability8,8th profitability field of annual cash & equivalents,MATRIX,74%,12,19
oth432_acae_a_profitability_profitability9,9th profitability field of Annual Cash & Equivalents,MATRIX,81%,12,32
oth432_acae_mae,Mean Average Error of the model of Cash & Equivalents,MATRIX,38%,5,26
oth432_acae_predict,Predict value of Cash & Equivalents,MATRIX,88%,24,97
oth432_acae_q_profitability_profitability1,1st profitability field of Quarterly Cash & Equivalents,MATRIX,86%,19,84
oth432_acae_q_profitability_profitability10,10th profitability field of Quarterly Cash & Equivalents,MATRIX,60%,17,87
oth432_acae_q_profitability_profitability11,11th Profitability Field of Quarterly Cash & Equivalents,MATRIX,60%,11,14
oth432_acae_q_profitability_profitability12,12th profitability field of Quarterly Cash & Equivalents,MATRIX,79%,17,70
oth432_acae_q_profitability_profitability2,2nd profitability field of Quarterly Cash & Equivalents,MATRIX,86%,22,46
oth432_acae_q_profitability_profitability3,3rd profitability field of Quarterly Cash & Equivalents,MATRIX,86%,52,122
oth432_acae_q_profitability_profitability4,4th profitability field of Quarterly Cash & Equivalents,MATRIX,86%,12,19
oth432_acae_q_profitability_profitability5,5th Profitability Field of Quarterly Cash & Equivalents,MATRIX,84%,28,75
oth432_acae_q_profitability_profitability6,6th profitability field of Quarterly Cash & Equivalents,MATRIX,74%,21,45
oth432_acae_q_profitability_profitability7,7th profitability field of Quarterly Cash & Equivalents,MATRIX,76%,7,14
oth432_acae_q_profitability_profitability8,8th profitability field of Quarterly Cash & Equivalents,MATRIX,76%,21,51
oth432_acae_q_profitability_profitability9,9th profitability field of Quarterly Cash & Equivalents,MATRIX,86%,16,35
oth432_acae_trkdpitdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Annual Cash & Equivalents,MATRIX,97%,17,51
oth432_acae_trkdpitdeltapredict_annual_funda_predict,Predicted value of Annual Cash & Equivalents,MATRIX,95%,6,8
oth432_acae_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Quarterly Cash & Equivalents,MATRIX,69%,13,14
oth432_acae_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Quarterly Cash & Equivalents,MATRIX,85%,8,10
oth432_acae_trkdpitdeltapredict_funda_mae,Mean Average Error of the Model of Quarterly Cash & Equivalents,MATRIX,73%,10,15
oth432_acae_trkdpitdeltapredict_funda_predict,Predicted Value of Quarterly Cash & Equivalents,MATRIX,85%,18,34
oth432_accruals_oeps12_mae,Mean Average Error of the model of Earnings Per Share from Operations - 12 Months Moving,MATRIX,55%,12,15
oth432_accruals_oeps12_predict,Predict value of Earnings Per Share from Operations - 12 Months Moving,MATRIX,89%,13,63
oth432_acoq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Other Current Assets,MATRIX,65%,6,6
oth432_acoq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Other Current Assets,MATRIX,100%,25,66
oth432_acoq_compustatdeltapredict_funda_mae,Mean Average Error of the model of Other Current Assets,MATRIX,70%,6,7
oth432_acoq_compustatdeltapredict_funda_predict,Predict value of Other Current Assets,MATRIX,93%,16,18
oth432_acoq_mae,Mean Average Error of the model of Current Assets - Other - Total,MATRIX,47%,9,9
oth432_acoq_predict,Predicted Value of Current Assets - Other - Total,MATRIX,82%,4,17
oth432_act_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Annual Current Assets,MATRIX,97%,12,45
oth432_act_compustatdeltapredict_annual_funda_predict,Predicted value of Annual Current Assets,MATRIX,97%,12,12
oth432_actq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Current Assets,MATRIX,62%,3,5
oth432_actq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Current Assets,MATRIX,100%,10,17
oth432_actq_compustatdeltapredict_funda_mae,Mean Average Error of the model of Current Assets,MATRIX,67%,4,4
oth432_actq_compustatdeltapredict_funda_predict,Predicted value of Current Assets,MATRIX,100%,18,73
oth432_ad,Debt to Asset ratio of Predictive models,MATRIX,81%,17,57
oth432_aint_predict,"Predicted value of Intangibles, Net",MATRIX,87%,17,98
oth432_aitl_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Total Inventories,MATRIX,47%,9,13
oth432_aitl_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Total Inventories,MATRIX,60%,3,7
oth432_aitl_trkdpitdeltapredict_funda_mae,Mean Average Error of the model of Total Inventories,MATRIX,50%,4,4
oth432_aitl_trkdpitdeltapredict_funda_predict,Predicted value of Total Inventories,MATRIX,60%,10,12
oth432_altman,Altman Z-Score estimates of Predictive Models,MATRIX,75%,17,106
oth432_ancq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Non-current Assets,MATRIX,57%,2,2
oth432_ancq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Non-current Assets,MATRIX,100%,12,55
oth432_ancq_compustatdeltapredict_funda_mae,Mean Average Error of the model of Non-current Assets,MATRIX,65%,3,3
oth432_ancq_compustatdeltapredict_funda_predict,Predict value of Non-current Assets,MATRIX,100%,17,27
oth432_ancq_predict,Predicted value of Non-Current Assets - Total,MATRIX,90%,10,27
oth432_ap_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Annual Accounts Payable,MATRIX,97%,5,5
oth432_ap_compustatdeltapredict_annual_funda_predict,Predicted value of Annual Accounts Payable,MATRIX,96%,3,3
oth432_appn_predict,"Predict value of Property/Plant/Equipment, Total - Net",MATRIX,88%,16,48
oth432_appn_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Property/Plant/Equipment,MATRIX,69%,7,22
oth432_appn_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Property/Plant/Equipment,MATRIX,93%,9,16
oth432_appn_trkdpitdeltapredict_funda_mae,Mean Average Error of the model of Property/Plant/Equipment,MATRIX,79%,5,7
oth432_appn_trkdpitdeltapredict_funda_predict,Predicted Value of Property/Plant/Equipment,MATRIX,93%,8,16
oth432_apq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Accounts Payable,MATRIX,77%,6,42
oth432_apq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Accounts Payable,MATRIX,100%,12,44
oth432_apq_compustatdeltapredict_funda_mae,Mean Average Error of the model of Accounts Payable,MATRIX,82%,6,9
oth432_apq_compustatdeltapredict_funda_predict,Predict value of Accounts Payable,MATRIX,100%,12,25
oth432_apq_mae,Mean Average Error of the model of Account Payable/Creditors - Trade,MATRIX,55%,2,2
oth432_apq_predict,Predicted Value of Account Payable/Creditors - Trade,MATRIX,89%,10,14
oth432_assets_otlo_predict,Predict value of Cash from Operating Activities,MATRIX,89%,15,46
oth432_assets_revtq_predict,Predicted value of Revenue - Total,MATRIX,90%,7,10
oth432_at_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Total Assets,MATRIX,97%,6,63
oth432_at_compustatdeltapredict_annual_funda_predict,Predicted Value of Total Assets,MATRIX,97%,8,11
oth432_atca_mae,Mean Average Error of the model of Total Current Assets,MATRIX,28%,0,0
oth432_atca_predict,Predict value of Total Current Assets,MATRIX,88%,8,25
oth432_atca_trkdpitdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Total Current Assets,MATRIX,62%,7,7
oth432_atca_trkdpitdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Total Current Assets,MATRIX,78%,13,42
oth432_atca_trkdpitdeltapredict_funda_mae,Mean Average Error of the model of Total Current Assets,MATRIX,66%,3,4
oth432_atca_trkdpitdeltapredict_funda_predict,Predict value of Total Current Assets,MATRIX,78%,9,19
oth432_atot_predict,Predicted value of Total Assets,MATRIX,89%,9,146
oth432_atq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Total Assets,MATRIX,76%,2,28
oth432_atq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Total Assets,MATRIX,100%,13,18
oth432_atq_compustatdeltapredict_funda_mae,Mean Average Error of the model of Total Assets,MATRIX,85%,5,16
oth432_atq_compustatdeltapredict_funda_predict,Predicted Value of Total Assets,MATRIX,100%,14,26
oth432_atq_predict,Predict value of Assets - Total,MATRIX,90%,8,9
oth432_atrc_mae,"Mean Average Error of the model of Total Receivables, Net",MATRIX,28%,4,8
oth432_atrc_predict,"Predicted Value of Total Receivables, Net",MATRIX,88%,3,24
oth432_aul3_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Assets Level 3 (unobservable),MATRIX,97%,11,28
oth432_aul3_compustatdeltapredict_annual_funda_predict,Predict value of Assets Level 3 (unobservable),MATRIX,44%,3,3
oth432_bkvlps_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Book value per share,MATRIX,97%,10,29
oth432_bkvlps_compustatdeltapredict_annual_funda_predict,Predicted value of book value per share,MATRIX,97%,15,51
oth432_capital_otlo_predict,Predict value of Cash from Operating Activities,MATRIX,90%,9,97
oth432_capital_revtq_mae,Mean Average Error of the model of Revenue - Total,MATRIX,42%,4,21
oth432_capital_revtq_predict,Predict value of Revenue - Total,MATRIX,89%,6,10
oth432_captq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Capitalized Costs,MATRIX,76%,5,6
oth432_captq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Capitalized Costs,MATRIX,100%,6,7
oth432_captq_compustatdeltapredict_funda_mae,Mean Average Error of the model of Capitalized Costs,MATRIX,84%,5,5
oth432_captq_compustatdeltapredict_funda_predict,Predict value of Capitalized Costs,MATRIX,100%,10,54
oth432_capx_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Capital Expenditure,MATRIX,97%,4,7
oth432_capx_compustatdeltapredict_annual_funda_predict,Predicted Value of Capital Expenditure,MATRIX,91%,8,27
oth432_cash_otlo_mae,Mean Average Error of the model of Cash from Operating Activities,MATRIX,38%,2,2
oth432_cash_otlo_predict,Predicted value of Cash from Operating Activities,MATRIX,89%,6,9
oth432_cash_rtlr_mae,Mean Average Error of the model of Total Revenue,MATRIX,38%,3,4
oth432_cash_rtlr_predict,Predicted value of Total Revenue,MATRIX,88%,9,21
oth432_cashflows_otlo_mae,Mean Average Error of the model of Cash from Operating Activities,MATRIX,42%,1,1
oth432_cashflows_otlo_predict,Predicted value of Cash from Operating Activities,MATRIX,89%,9,27
oth432_cashflows_rtlr_mae,Mean Average Error of the model of Total Revenue,MATRIX,42%,3,8
oth432_cashflows_rtlr_predict,Predict value of Total Revenue,MATRIX,88%,3,7
oth432_ceq_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Common Equity,MATRIX,97%,12,52
oth432_ceq_compustatdeltapredict_annual_funda_predict,Predicted value of Common Equity,MATRIX,97%,9,20
oth432_cfo_cap,CFO to cap ratio of Predictive models,MATRIX,88%,34,134
oth432_cfo_yield,CFO Yield of Predictive models,MATRIX,76%,73,234
oth432_che_compustatdeltapredict_annual_funda_madp,Mean Absolute Deviation of predicted value of Annual Cash and Short-term Investments,MATRIX,97%,9,21
oth432_che_compustatdeltapredict_annual_funda_predict,Predict value of Annual Cash and Short-term Investments,MATRIX,97%,8,29
oth432_che_profitability_profitability1,1st profitability field of Cash and Short-term Investments,MATRIX,97%,4,14
oth432_che_profitability_profitability10,10th profitability field of Cash and Short-term Investments,MATRIX,66%,8,61
oth432_che_profitability_profitability11,11th profitability field of Cash and Short-term Investments,MATRIX,73%,30,565
oth432_che_profitability_profitability12,12th profitability field of Cash and Short-term Investments,MATRIX,92%,9,36
oth432_che_profitability_profitability2,2nd profitability field of Cash and Short-term Investments,MATRIX,97%,21,30
oth432_che_profitability_profitability3,3rd profitability field of Cash and Short-term Investments,MATRIX,93%,19,49
oth432_che_profitability_profitability4,4th profitability field of Cash and Short-term Investments,MATRIX,93%,17,25
oth432_che_profitability_profitability5,5th profitability field of Cash and Short-term Investments,MATRIX,89%,26,92
oth432_che_profitability_profitability6,6th profitability field of Cash and Short-term Investments,MATRIX,79%,9,18
oth432_che_profitability_profitability7,7th profitability field of Cash and Short-term Investments,MATRIX,74%,3,4
oth432_che_profitability_profitability8,8th profitability field of Cash and Short-term Investments,MATRIX,74%,16,183
oth432_che_profitability_profitability9,9th profitability field of Cash and Short-term Investments,MATRIX,93%,11,32
oth432_cheq_compustatdeltapredict_funda_mada,Mean Absolute Deviation of scaled actual value of Cash and Short-term Investments,MATRIX,79%,2,10
oth432_cheq_compustatdeltapredict_funda_madp,Mean Absolute Deviation of predicted value of Cash and Short-term Investments,MATRIX,100%,21,84
