Field,Description,Type,Coverage,Users,Alphas
avg_business_outlook_score,Company month average business outlook rating on a 1 to 5 scale higher is more positive,VECTOR,62%,2,3
avg_career_growth_score,Company-month average employee rating of career opportunities on a 1–5 scale,VECTOR,62%,2,2
avg_ceo_approval_score,"Average CEO approval rating from reviews (scale mapped, e.g., 1–5)",VECTOR,60%,3,3
avg_culture_values_score,Company-level average review rating for culture and values (1–5),VECTOR,62%,2,2
avg_diversity_inclusion_score,Company-month average rating of diversity and inclusion on a 1–5 scale,VECTOR,68%,3,3
avg_overall_company_score,Rolling average overall company rating from employee reviews at the company-month level (scale roughly 1–5),VECTOR,62%,0,0
avg_pay_and_benefits_score,Company-level average review rating of compensation and benefits (1–5),VECTOR,62%,2,2
avg_recommend_to_peer_score,"Average score indicating whether reviewers would recommend the company to a friend for the period (typically 1–5, company-month level)",VECTOR,62%,2,2
avg_senior_management_score,Company-level average review rating of senior leadership (1–5),VECTOR,62%,1,1
avg_work_life_balance_score,Company-level average review rating of work-life balance (1–5),VECTOR,62%,0,0
benefits_perks_sentiment,Text-derived score reflecting sentiment about company perks and benefits,VECTOR,62%,2,3
career_advancement_sentiment_score,Text-derived score for career advancement opportunities,VECTOR,62%,3,5
career_growth_rating,Reviewer’s rating of career opportunities (1 to 5),VECTOR,61%,0,0
company_size_sentiment_score,Topic score related to company size or employee count derived from review text (scale varies),VECTOR,62%,0,0
compensation_sentiment_score,Numeric score reflecting perceived compensation competitiveness,VECTOR,62%,0,0
coworkers_sentiment_score,Text-derived sentiment score about coworkers/peer environment,VECTOR,62%,1,1
culture_values_rating,Rating of company culture and values (typically 1–5 at review level),VECTOR,61%,0,0
diversity_inclusion_rating,Reviewer’s rating of diversity and inclusion (1 to 5),VECTOR,67%,0,0
diversity_inclusion_sentiment_score,Text-derived sentiment score on diversity and inclusion,VECTOR,62%,0,0
employment_duration_years,Number of years the reviewer worked at the company,VECTOR,62%,0,0
innovation_technology_sentiment_score,Model-derived sentiment score for innovation and technology discussed in the review text,VECTOR,62%,0,0
leadership_sentiment_score,Model-derived sentiment score related to management,VECTOR,62%,3,4
mentorship_sentiment_score,Text-derived mentorship sentiment score,VECTOR,62%,2,5
negative_feedback_text,Cons/negative comments text provided by the reviewer,VECTOR,62%,0,0
onboarding_sentiment_score,Model-derived sentiment score about onboarding experiences,VECTOR,62%,3,12
oth567_deltaasm_391,MSA of position,VECTOR,31%,1,1
oth567_deltaatlas_month,The month and year of the position (At MCD level we have converted to date so added {dd} to month field,VECTOR,51%,0,0
oth567_deltaatlas_month_382,The month and year of the position (At MCD level we have converted to date so added {dd} to month field,VECTOR,58%,0,0
oth567_deltacountry_436,The name of the country,VECTOR,31%,0,0
oth567_deltajob_category_411,Aggregated new position role with 7 discrete levels,VECTOR,31%,4,4
oth567_deltaprimary_city_360,City,VECTOR,58%,2,2
oth567_deltaprimary_country_367,Country,VECTOR,58%,0,0
oth567_deltaprimary_exchange_388,Exchange Name,VECTOR,58%,3,4
oth567_deltaprimary_gvkey_369,gv_key,VECTOR,58%,2,3
oth567_deltaprimary_isin_371,ISIN code,VECTOR,58%,1,2
oth567_deltaprimary_naics_368,Naics Code,VECTOR,58%,2,2
oth567_deltaprimary_sedol_389,sedol,VECTOR,58%,1,1
oth567_deltaprimary_sic_377,sic,VECTOR,58%,4,11
oth567_deltaprimary_state_385,State,VECTOR,58%,1,1
oth567_deltaprimary_ticker_375,ticker,VECTOR,58%,2,2
oth567_deltaregion_422,This refers to the region,VECTOR,31%,2,11
oth567_deltareview_advice_420,reviewer?s advice to management,VECTOR,29%,1,2
oth567_deltareview_cons_396,negative review of company,VECTOR,31%,2,2
oth567_deltareview_count_helpful_421,number of users who found the review helpful,VECTOR,31%,1,1
oth567_deltareview_featured_431,indicates whether review is featured on company page,VECTOR,31%,0,0
oth567_deltareview_iscovid19_423,indicates whether review mentions the covid19 pandemic,VECTOR,31%,0,0
oth567_deltareview_pros_406,positive review of company,VECTOR,31%,2,2
oth567_deltareviewer_current_job_402,indicates whether the reviewer is a current or former employee,VECTOR,31%,2,3
oth567_deltareviewer_employment_status_407,indicates employment type of reviewer (freelance,VECTOR,31%,5,5
oth567_deltareviewer_length_of_employment_430,number of years the reviewer worked at the company,VECTOR,31%,1,1
oth567_deltarole_k50_408,Aggregated previous position role with 50 discrete levels,VECTOR,31%,3,3
oth567_deltascore_career_advancement_410,Score for career advancement,VECTOR,31%,1,1
oth567_deltascore_company_size_432,Company size score,VECTOR,31%,2,2
oth567_deltascore_compensation_425,Compensation score,VECTOR,31%,0,0
oth567_deltascore_coworkers_416,Score of coworkers,VECTOR,31%,2,2
oth567_deltascore_culture_433,Culture score,VECTOR,31%,0,0
oth567_deltascore_diversity_and_inclusion_427,Score for diversity and inclusion,VECTOR,31%,0,0
oth567_deltascore_innovation_technology_414,score_innovation_technology,VECTOR,31%,1,1
oth567_deltascore_management_393,Management score,VECTOR,31%,1,1
oth567_deltascore_mentorship_415,Mentorship score,VECTOR,31%,4,4
oth567_deltascore_onboarding_400,Onboarding scores,VECTOR,31%,1,1
oth567_deltascore_perks_397,Score for perks,VECTOR,31%,0,0
oth567_deltascore_remote_work_434,Remote work scores,VECTOR,31%,0,0
oth567_deltascore_work_life_balance_399,Score of work life balance,VECTOR,31%,2,2
oth567_deltastate_417,state of position,VECTOR,31%,1,1
oth567_individual_deltaatlas_unit_name_403,Atlas unit name,VECTOR,31%,2,2
oth567_individual_deltarating_business_outlook_392,business outlook rating (positive,VECTOR,31%,3,3
oth567_individual_deltarating_career_opportunities_426,rating of career opportunities (1 to 5,VECTOR,31%,1,1
oth567_individual_deltarating_ceo_409,approval rating of the CEO (approve,VECTOR,31%,0,0
oth567_individual_deltarating_compensation_and_benefits_419,rating of employee compensation and benefits (1 to 5,VECTOR,31%,1,1
oth567_individual_deltarating_culture_and_values_405,rating of company culture and values (integer values 1 to 5,VECTOR,30%,6,7
oth567_individual_deltarating_diversity_and_inclusion_412,rating of company diversity and inclusion (integer values 1 to 5,VECTOR,30%,6,6
