Field,Description,Type,Coverage,Users,Alphas
fnd31_60dsigma,Stock Return Volatility. It is defined as the standard deviation of a stock's monthly returns in the prior 60 days.,MATRIX,92%,49,75
fnd31_ad,Total Debt to Total Assets. It is defined as the most recently reported total debt divided by total assets.,MATRIX,95%,49,159
fnd31_adpmoc,Leverage Composition. The most recent reported DA divided by the DA of the previous quarter. (DA = quarterly total liabilities as a percentage of the reported total assets).,MATRIX,98%,53,97
fnd31_apgghcm3,Quarterly Change in Gross Profit to Assets. It is defined as the quarter-on-quarter change in gross profit to assets.,MATRIX,63%,34,43
fnd31_avg10yepinf,"Cyclically and Inflation Adjusted Earnings-to-Price. It is defined as the average inflation-adjusted earnings of the stock over the past 10 years, divided by its current price.",MATRIX,82%,32,66
fnd31_backfilled_apgghcm3,Quarterly Change in Gross Profit to Assets. It is defined as the quarter-on-quarter change in gross profit to assets.,MATRIX,63%,51,142
fnd31_backfilled_avg10yepinf,"Cyclically and Inflation Adjusted Earnings-to-Price. It is defined as the average inflation-adjusted earnings of the stock over the past 10 years, divided by its current price.",MATRIX,82%,23,84
fnd31_backfilled_mpgghcm3,Quarterly Change in Gross Profit Margin. It is defined as the quarter-on-quarter change in gross profit margin.,MATRIX,63%,40,180
fnd31_capexdeplink,Capital Expenditures to Depreciation Linkage. It is defined as the absolute value of the difference between ranked (1-1000) quarterly capital expenditures to assets and ranked (1-1000) quarterly depreciation to assets.,MATRIX,44%,8,9
fnd31_chg12mtotdebt,"12-Month Change in Total Debt. It is defined as the 12-month relative change in total debt, where total debt is the sum of long-term and short-term debt.",MATRIX,46%,8,12
fnd31_chginvavgast,Change in Inventory to Average Assets. It is defined as the 12-month change in the quarterly total inventories scaled by the average of assets at the most recent quarter end and 4 quarters prior.,MATRIX,41%,20,28
fnd31_chgqtrepssurp,"Change in Real Earnings Surprise. It is defined as the change in quarterly earnings surprise (Actual EPS - Consensus Estimate EPS), scaled by the most recent closing price.",MATRIX,43%,10,14
fnd31_chgroeart,Yearly Change in ROE - Arithmetic Difference. It is defined as the yearly arithmetic change in the ratio of trailing-twelve-month earnings before extraordinary items divided by current total book equity.,MATRIX,93%,39,88
fnd31_chgroepct,Yearly Change in ROE - Percentage Method. It is defined as the yearly percentage change in the ratio of trailing-12-month earnings before extraordinary items divided by current total book equity,MATRIX,93%,91,198
