Field,Description,Type,Coverage,Users,Alphas
oth455_competitor_n2v_p10_q200_w1_kmeans_cluster_10,"D1-lagged KMeans cluster label (10 clusters) from the W1 Node2Vec competitor latent vector (USA, N2V P10 Q200)",GROUP,96%,123,417
oth455_competitor_n2v_p10_q200_w1_kmeans_cluster_20,"D1-lagged KMeans cluster label (20 clusters) from the W1 Node2Vec competitor latent vector (USA, N2V P10 Q200)",GROUP,97%,64,193
oth455_competitor_n2v_p10_q200_w1_kmeans_cluster_5,"D1-lagged KMeans cluster label (5 clusters) from the W1 Node2Vec competitor latent vector (USA, N2V P10 Q200)",GROUP,96%,52,86
oth455_competitor_n2v_p10_q200_w1_pca_fact1_cluster_10,"D1-lagged categorical label (10 clusters) assigning the stock based on its PC1 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,96%,29,39
oth455_competitor_n2v_p10_q200_w1_pca_fact1_cluster_20,"D1-lagged categorical label (20 clusters) assigning the stock based on its PC1 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,97%,24,39
oth455_competitor_n2v_p10_q200_w1_pca_fact1_cluster_5,"D1-lagged categorical label (5 clusters) assigning the stock based on its PC1 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,95%,16,34
oth455_competitor_n2v_p10_q200_w1_pca_fact2_cluster_10,"D1-lagged categorical label (10 clusters) based on PC2 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,96%,19,35
oth455_competitor_n2v_p10_q200_w1_pca_fact2_cluster_20,"D1-lagged categorical label (20 clusters) based on PC2 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,97%,18,27
oth455_competitor_n2v_p10_q200_w1_pca_fact2_cluster_5,"D1-lagged categorical label (5 clusters) based on PC2 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,95%,17,23
oth455_competitor_n2v_p10_q200_w1_pca_fact3_cluster_10,"D1-lagged categorical label (10 clusters) based on PC3 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,96%,18,23
oth455_competitor_n2v_p10_q200_w1_pca_fact3_cluster_20,"D1-lagged categorical label (20 clusters) based on PC3 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,97%,13,592
oth455_competitor_n2v_p10_q200_w1_pca_fact3_cluster_5,"D1-lagged categorical label (5 clusters) based on PC3 score from the W1 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,95%,14,20
oth455_competitor_n2v_p10_q200_w2_kmeans_cluster_10,KMeans cluster label (k=10) for the D1-lagged Node2Vec embedding built from USA competitor relationships (window 2),GROUP,96%,22,285
oth455_competitor_n2v_p10_q200_w2_kmeans_cluster_20,KMeans cluster label (k=20) for the D1-lagged Node2Vec embedding built from USA competitor relationships (window 2),GROUP,97%,21,228
oth455_competitor_n2v_p10_q200_w2_kmeans_cluster_5,KMeans cluster label (k=5) for the D1-lagged Node2Vec embedding built from USA competitor relationships (window 2),GROUP,96%,32,377
oth455_competitor_n2v_p10_q200_w2_pca_fact1_cluster_10,"D1-lagged categorical label (10 clusters) assigning the stock based on its PC1 score from the W2 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,97%,19,26
oth455_competitor_n2v_p10_q200_w2_pca_fact1_cluster_20,"D1-lagged categorical label (20 clusters) assigning the stock based on its PC1 score from the W2 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,97%,16,23
oth455_competitor_n2v_p10_q200_w2_pca_fact1_cluster_5,"D1-lagged categorical label (5 clusters) assigning the stock based on its PC1 score from the W2 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,96%,7,9
oth455_competitor_n2v_p10_q200_w2_pca_fact2_cluster_10,"D1-lagged categorical label (10 clusters) based on PC2 score from the W2 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,96%,8,10
oth455_competitor_n2v_p10_q200_w2_pca_fact2_cluster_20,"D1-lagged categorical label (20 clusters) based on PC2 score from the W2 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,97%,11,18
oth455_competitor_n2v_p10_q200_w2_pca_fact2_cluster_5,"D1-lagged categorical label (5 clusters) based on PC2 score from the W2 Node2Vec competitor embedding (USA, N2V P10 Q200)",GROUP,95%,7,14
