Field,Description,Type,Coverage,Users,Alphas
mws46_category,"A unique tag to label, identify, and recognize a particular type and property of an entity-specific news event.",VECTOR,93%,16,23
mws46_elw,Word and phrase detection score,VECTOR,100%,10,12
mws46_elw_fast_d1,Word and phrase detection score,VECTOR,100%,2,3
mws46_ens,Event Novelty Score (0–100) measuring the uniqueness or freshness of the story,VECTOR,99%,14,19
mws46_ens_elapsed,Elapsed time in milliseconds since the first story in the event novelty chain,VECTOR,99%,9,11
mws46_ens_elapsed_fast_d1,Elapsed time in milliseconds since the first story in the event novelty chain,VECTOR,99%,1,1
mws46_ens_fast_d1,Event Novelty Score (0–100) measuring the uniqueness or freshness of the story,VECTOR,99%,4,4
mws46_ens_key,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,VECTOR,99%,7,11
mws46_ens_key_fast_d1,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,VECTOR,99%,4,6
mws46_ens_key_off,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,VECTOR,99%,7,7
mws46_ens_key_off_fast_d1,An alphanumeric identifier that provides a way to chain or relate stories about the same categorized event for the same entities.,VECTOR,99%,5,5
mws46_ess,Event Sentiment Score (0–100) based on the tone of the news,VECTOR,99%,7,7
mws46_ess_fast_d1,Event Sentiment Score (0–100) based on the tone of the news,VECTOR,99%,5,6
mws46_g_ens,Global Event Novelty Score (0–100) indicating how new a story is within a 24-hour window across all providers,VECTOR,99%,2,2
mws46_g_ens_elapsed,Elapsed time in milliseconds since the first story in the global novelty chain across providers,VECTOR,99%,8,10
mws46_g_ens_elapsed_fast_d1,Elapsed time in milliseconds since the first story in the global novelty chain across providers,VECTOR,99%,4,4
mws46_g_ens_fast_d1,Global Event Novelty Score (0–100) indicating how new a story is within a 24-hour window across all providers,VECTOR,99%,6,6
mws46_mce,Event information,VECTOR,100%,9,10
mws46_mce_fast_d1,Event information,VECTOR,100%,3,3
mws46_mcp,"Projections, corporate news score",VECTOR,100%,9,11
mws46_mcp_fast_d1,"Projections, corporate news score",VECTOR,100%,5,6
mws46_mcr,Reports on corporate actions score,VECTOR,100%,6,8
mws46_mcr_fast_d1,Reports on corporate actions score,VECTOR,100%,0,0
mws46_mcv,"Venture, corporate, mergers and acquisitions score",VECTOR,100%,5,5
mws46_mcv_fast_d1,"Venture, corporate, mergers and acquisitions score",VECTOR,100%,1,1
mws46_mean_ens,"A score between 0 and 100 that represents how ""new"" or novel a news story is within a 24-hour time window across all news stories in a particular package",MATRIX,91%,1,3
mws46_mean_ess,A granular score between 0 and 100 that represents the news sentiment for a given entity by measuring various proxies sampled from the news. The score is determined by systematically matching stories typically categorized by financial experts as having short-term positive or negative financial or economic impact. Their ratings are encapsulated in an algorithm that generates a score range between 0-100 where higher values indicate more positive sentiment while values below 50 show negative sentiment.,MATRIX,91%,2,8
mws46_mean_nip,A score taking values between 0 and 100 that represents the degree of impact a news flash has on the market over the following 2-hour period. Whether something is considered high or low depends on the time of day when the story arrived.,MATRIX,93%,2,5
mws46_mean_relevance,"A score between 0-100 that indicates how strongly related the entity is to the underlying news story, with higher values indicating greater relevance. Specifically, a value of 100 indicates that the entity identified plays a key role in the news story and is considered highly relevant.",MATRIX,93%,21,42
mws46_mean_ssc,A sentiment score between 0 and 100 that represents the news sentiment of a given story by combining various sentiment analysis techniques.,MATRIX,93%,2,9
mws46_news_type,"Type of news story (e.g., formal, rumor, opinion, legal), codebook-based",VECTOR,100%,7,15
mws46_news_type_fast_d1,"Type of news story (e.g., formal, rumor, opinion, legal), codebook-based",VECTOR,100%,1,1
mws46_nip,News Impact Projections score (0–100) estimating market impact over the next two hours,VECTOR,100%,5,5
mws46_nip_fast_d1,News Impact Projections score (0–100) estimating market impact over the next two hours,VECTOR,100%,1,1
mws46_ravenpack_mean_ens,Mean Event Novelty Score (0–100) indicating how new or unique the news is within a 24-hour window across stories in the package; higher values mean more novel,MATRIX,99%,22,34
mws46_ravenpack_mean_ens_fast_d1,Mean Event Novelty Score (0–100) indicating how new or unique the news is within a 24-hour window across stories in the package; higher values mean more novel,MATRIX,99%,4,4
mws46_ravenpack_mean_ess,Mean Event Sentiment Score (0–100) measuring news sentiment for the entity based on proxies sampled from news; values above 50 indicate positive sentiment and below 50 indicate negative,MATRIX,99%,37,53
mws46_ravenpack_mean_ess_fast_d1,Mean Event Sentiment Score (0–100) measuring news sentiment for the entity based on proxies sampled from news; values above 50 indicate positive sentiment and below 50 indicate negative,MATRIX,99%,1,1
mws46_ravenpack_mean_nip,Mean News Impact Projections score (0–100) estimating the short-term market impact of associated news over the next two hours; higher values indicate greater projected impact and interpretation can vary by time of day,MATRIX,100%,29,51
mws46_ravenpack_mean_nip_fast_d1,Mean News Impact Projections score (0–100) estimating the short-term market impact of associated news over the next two hours; higher values indicate greater projected impact and interpretation can vary by time of day,MATRIX,100%,2,2
mws46_ravenpack_mean_relevance,Mean relevance score (0–100) indicating how central the entity is to the news; 100 means the entity is a primary focus,MATRIX,100%,21,42
mws46_ravenpack_mean_relevance_fast_d1,Mean relevance score (0–100) indicating how central the entity is to the news; 100 means the entity is a primary focus,MATRIX,100%,1,1
mws46_ravenpack_mean_ssc,Mean Composite Sentiment Score (0–100) summarizing the overall news tone for the entity by combining multiple sentiment analysis techniques; higher values indicate more positive sentiment,MATRIX,100%,22,55
mws46_ravenpack_mean_ssc_fast_d1,Mean Composite Sentiment Score (0–100) summarizing the overall news tone for the entity by combining multiple sentiment analysis techniques; higher values indicate more positive sentiment,MATRIX,100%,1,1
mws46_ravenpack_sum_ens,"A novelty score (0-100) indicating how ""new"" or original a news story is within a 24-hour time frame among a set of stories",MATRIX,99%,20,31
mws46_ravenpack_sum_ens_fast_d1,"A novelty score (0-100) indicating how ""new"" or original a news story is within a 24-hour time frame among a set of stories",MATRIX,99%,5,5
mws46_ravenpack_sum_ess,"A granular news sentiment score (0-100) indicating positive or negative financial/economic sentiment for a given entity, derived from systematic analysis of news stories",MATRIX,99%,9,44
mws46_ravenpack_sum_ess_fast_d1,"A granular news sentiment score (0-100) indicating positive or negative financial/economic sentiment for a given entity, derived from systematic analysis of news stories",MATRIX,99%,2,2
mws46_ravenpack_sum_nip,"A score (0-100) representing the expected market impact of a news flash over the subsequent two-hour period, varying by time of day of the news arrival",MATRIX,100%,14,26
mws46_ravenpack_sum_nip_fast_d1,"A score (0-100) representing the expected market impact of a news flash over the subsequent two-hour period, varying by time of day of the news arrival",MATRIX,100%,1,1
mws46_ravenpack_sum_relevance,"A score (0-100) that reflects how strongly the entity is connected to the news story, with higher values showing higher relevance and 100 meaning the entity is central to the story",MATRIX,100%,13,33
mws46_ravenpack_sum_relevance_fast_d1,"A score (0-100) that reflects how strongly the entity is connected to the news story, with higher values showing higher relevance and 100 meaning the entity is central to the story",MATRIX,100%,2,2
mws46_ravenpack_sum_ssc,"A composite sentiment score (0-100) for a news story, calculated by aggregating multiple sentiment analysis methods",MATRIX,100%,9,25
mws46_ravenpack_sum_ssc_fast_d1,"A composite sentiment score (0-100) for a news story, calculated by aggregating multiple sentiment analysis methods",MATRIX,100%,1,1
mws46_ravenpack_sum_story_count,Sum of story counts over the aggregation window,MATRIX,100%,22,33
mws46_ravenpack_sum_story_count_fast_d1,Sum of story counts over the aggregation window,MATRIX,100%,5,5
mws46_relevance,Relevance score (0–100) indicating the importance of the story to the entity,VECTOR,100%,3,3
mws46_relevance_fast_d1,Relevance score (0–100) indicating the importance of the story to the entity,VECTOR,100%,2,2
mws46_ssc,Composite Sentiment Score for the story or entity (0–100),VECTOR,100%,7,9
mws46_ssc_fast_d1,Composite Sentiment Score for the story or entity (0–100),VECTOR,100%,3,4
mws46_story_count,Story count,VECTOR,100%,3,3
mws46_story_count_fast_d1,Story count,VECTOR,100%,1,1
mws46_story_index,Story index,VECTOR,100%,19,57
mws46_story_index_fast_d1,Story index,VECTOR,100%,3,5
mws46_storyid_category,"A unique tag to label, identify, and recognize a particular type and property of an entity-specific news event",VECTOR,93%,4,5
mws46_storyid_elw,Word and phrase detection score indicating lexicon/phrase-driven signal strength,VECTOR,100%,1,1
mws46_storyid_ens,Novelty score (0–100) measuring how new the story is within a 24-hour window in the package,VECTOR,99%,9,14
mws46_storyid_ens_elapsed,Milliseconds since the first story in the event novelty chain; first story has 0,VECTOR,99%,5,8
