Field,Description,Type,Coverage,Users,Alphas
adjfactor,Adjustment factor applied to historical prices and dividends to account for splits and other corporate actions,MATRIX,100%,3,3
adv20,Average daily volume in past 20 days,MATRIX,100%,17602,99549
cap,Daily market capitalization (in millions),MATRIX,100%,30198,402242
close,Daily close price,MATRIX,100%,47434,528537
country,Country grouping,GROUP,100%,3277,20248
currency,Currency,GROUP,100%,1536,3987
cusip,CUSIP Value,SYMBOL,100%,31,57
dividend,Dividend,MATRIX,100%,4295,11437
exchange,Exchange grouping,GROUP,100%,2786,49358
high,Daily high price,MATRIX,100%,13786,55259
industry,Industry grouping,GROUP,100%,22561,223102
isin,ISIN Value,SYMBOL,100%,0,0
low,Daily low price,MATRIX,100%,13105,48015
market,Market grouping,GROUP,100%,14033,123122
open,Daily open price,MATRIX,100%,12135,52719
returns,Daily returns,MATRIX,100%,29573,322574
sector,Sector grouping,GROUP,100%,19150,326880
sedol,Sedol,SYMBOL,100%,95,151
sharesout,Daily outstanding shares (in millions),MATRIX,100%,6212,29245
split,Stock split ratio,MATRIX,100%,3794,18057
subindustry,Subindustry grouping,GROUP,100%,26272,266233
ticker,Ticker,SYMBOL,100%,120,280
volume,Daily volume,MATRIX,100%,31534,297275
vwap,Daily volume weighted average price,MATRIX,100%,18418,65479
